Time,Flow_Rate
0,1401.84757195928
0.001,1388.24890348464
0.002,1373.75499193332
0.003,1358.21783146244
0.004,1341.53074572281
0.005,1323.60675586755
0.006,1304.37617744277
0.007,1283.78973365962
0.008,1261.82424356344
0.009,1238.48971252599
0.01,1220.25678825485
0.011,1194.38429659244
0.012,1167.44372978012
0.013,1139.64183802924
0.014,1111.23819081372
0.015,1082.5376295317
0.016,1053.87738628551
0.017,1025.60970065565
0.018,998.081683187557
0.019,971.614822157583
0.02,936.227993334199
0.021,912.658476859823
0.022,890.80167479038
0.023,870.744218096292
0.024,852.5091547284
0.025,836.064196893466
0.026,821.332645812907
0.027,808.205331879442
0.028,796.552182524168
0.029,786.232445259009
0.03,783.879013879835
0.031,775.800785090215
0.032,768.642921301011
0.033,762.285589522806
0.034,756.62128182623
0.035,751.555147701733
0.036,747.00462753702
0.037,742.898639068697
0.038,739.176511970574
0.039,735.786813301976
0.04,729.242032104259
0.041,726.393967923451
0.042,723.767907582723
0.043,721.338212942468
0.044,719.08337249642
0.045,716.985295683919
0.046,715.028712417526
0.047,713.200667881714
0.048,711.490101570328
0.049,709.887499450667
0.05,706.53756723313
0.051,705.127163714611
0.052,703.802863872204
0.053,702.558973017358
0.054,701.390363819433
0.055,700.292379315815
0.056,699.260755797482
0.057,698.291561682214
0.058,697.381149163972
0.059,696.526116006297
0.06,694.041216505518
0.061,693.287572888733
0.062,692.580303270015
0.063,691.916741709368
0.064,691.294367010823
0.065,690.710792567236
0.066,690.163757883168
0.067,689.65112136141
0.068,689.170854035615
0.069,688.721034008198
0.07,691.644326328082
0.071,691.250038683479
0.072,690.881026540113
0.073,690.535749351487
0.074,690.212751520347
0.075,689.910658587304
0.076,689.628173540396
0.077,689.364073232587
0.078,689.117204900037
0.079,688.886482778043
0.08,690.059983358645
0.081,689.858548023747
0.082,689.670371223669
0.083,689.49460331255
0.084,689.330446210715
0.085,689.177150628531
0.086,689.034013397548
0.087,688.900374909642
0.088,688.775616664303
0.089,688.659158923611
0.09,687.52281207723
0.091,687.421360096203
0.092,687.326680122975
0.093,687.238326129557
0.094,687.155880690553
0.095,687.078953248424
0.096,687.007178471187
0.097,686.940214699275
0.098,686.877742478193
0.099,686.819463173518
0.1,687.584147446772
0.101,687.533434896493
0.102,687.486131591493
0.103,687.442009852224
0.104,687.400857007369
0.105,687.362474430135
0.106,687.326676633099
0.107,687.29329041847
0.108,687.262154080767
0.109,687.233116659007
0.11,687.160305525631
0.111,687.135052569493
0.112,687.111503320369
0.113,687.089543212553
0.114,687.069065335215
0.115,687.049969927349
0.116,687.03216390519
0.117,687.015560420146
0.118,687.000078445353
0.119,686.985642389107
0.12,684.963249558631
0.121,684.950698521641
0.122,684.938995741685
0.123,684.928083982547
0.124,684.917909857885
0.125,684.908423573865
0.126,684.899578688794
0.127,684.891331888649
0.128,684.883642777492
0.129,684.876473681774
0.13,689.271390904261
0.131,689.265158807121
0.132,689.259348272329
0.133,689.253930806741
0.134,689.248879840048
0.135,689.244170595414
0.136,689.239779968752
0.137,689.235686416095
0.138,689.231869848501
0.139,689.228311534009
0.14,683.62690115262
0.141,683.623808125173
0.142,683.620924412447
0.143,683.618235855108
0.144,683.615729250912
0.145,683.613392290102
0.146,683.611213495163
0.147,683.609182164624
0.148,683.607288320654
0.149,683.605522660181
0.15,678.52602078888
0.151,678.524486060383
0.152,678.523055214056
0.153,678.521721219747
0.154,678.520477522883
0.155,678.519318012324
0.156,678.518236990378
0.157,678.517229144853
0.158,678.516289522988
0.159,678.515413507147
0.16,680.33656321513
0.161,680.335801787138
0.162,680.335091903921
0.163,680.334430076504
0.164,680.33381305203
0.165,680.333237797785
0.166,680.332701486308
0.167,680.332201481498
0.168,680.331735325675
0.169,680.3313007275
0.17,690.95262925484
0.171,690.952251507804
0.172,690.951899333663
0.173,690.951571001253
0.174,690.951264896595
0.175,690.950979514957
0.176,690.950713453464
0.177,690.950465404202
0.178,690.950234147795
0.179,690.950018547408
0.18,683.860009103784
0.181,683.859821707549
0.182,683.859646998085
0.183,683.859484116514
0.184,683.859332262102
0.185,683.859190688322
0.186,683.859058699181
0.187,683.858935645805
0.188,683.858820923246
0.189,683.858713967511
0.19,682.181904855462
0.191,682.181811891529
0.192,682.181725221358
0.193,682.181644418861
0.194,682.181569086792
0.195,682.181498854802
0.196,682.181433377612
0.197,682.181372333317
0.198,682.181315421809
0.199,682.181262363292
0.2,682.564942958216
0.201,682.56489684079
0.202,682.564853845585
0.203,682.564813761225
0.204,682.56477639064
0.205,682.564741550106
0.206,682.564709068333
0.207,682.564678785632
0.208,682.564650553121
0.209,682.564624232
0.21,682.856316925846
0.211,682.856294048053
0.212,682.856272719128
0.213,682.856252834209
0.214,682.856234295536
0.215,682.856217011964
0.216,682.856200898522
0.217,682.856185875989
0.218,682.85617187051
0.219,682.856158813228
0.22,683.68914485065
0.221,683.689133501524
0.222,683.689122920756
0.223,683.689113056325
0.224,683.689103859735
0.225,683.689095285772
0.226,683.689087292282
0.227,683.689079839967
0.228,683.689072892189
0.229,683.689066414788
0.23,683.66189632865
0.231,683.661890698625
0.232,683.661885449764
0.233,683.66188055626
0.234,683.661875994056
0.235,683.661871740722
0.236,683.661867775348
0.237,683.661864078437
0.238,683.661860631814
0.239,683.661857418534
0.24,684.539905350181
0.241,684.539902557263
0.242,684.539899953432
0.243,684.539897525885
0.244,684.539895262688
0.245,684.539893152714
0.246,684.539891185589
0.247,684.539889351642
0.248,684.539887641858
0.249,684.539886047829
0.25,689.930994481222
0.251,689.930993095724
0.252,689.930991804028
0.253,689.930990599782
0.254,689.930989477066
0.255,689.930988430359
0.256,689.930987454517
0.257,689.930986544742
0.258,689.93098569656
0.259,689.930984905801
0.26,685.448698289789
0.261,685.448697602478
0.262,685.4486969617
0.263,685.448696364303
0.264,685.448695807351
0.265,685.448695288106
0.266,685.448694804015
0.267,685.448694352698
0.268,685.448693931936
0.269,685.44869353966
0.27,689.260768359457
0.271,689.260768018499
0.272,689.260767700625
0.273,689.260767404271
0.274,689.260767127981
0.275,689.260766870396
0.276,689.26076663025
0.277,689.260766406363
0.278,689.260766197634
0.279,689.260766003035
0.28,687.650787725759
0.281,687.650787556618
0.282,687.650787398929
0.283,687.650787251915
0.284,687.650787114854
0.285,687.650786987073
0.286,687.650786867943
0.287,687.650786756878
0.288,687.650786653332
0.289,687.650786556797
0.29,686.277840130638
0.291,686.277840046732
0.292,686.277839968506
0.293,686.277839895576
0.294,686.277839827583
0.295,686.277839764194
0.296,686.277839705097
0.297,686.27783965
0.298,686.277839598634
0.299,686.277839550744
0.3,683.361948822102
0.301,683.361948780478
0.302,683.361948741672
0.303,683.361948705493
0.304,683.361948671764
0.305,683.361948640318
0.306,683.361948611001
0.307,683.361948583669
0.308,683.361948558187
0.309,683.361948534431
0.31,683.762388209853
0.311,683.762388189204
0.312,683.762388169954
0.313,683.762388152006
0.314,683.762388135274
0.315,683.762388119675
0.316,683.762388105131
0.317,683.762388091573
0.318,683.762388078932
0.319,683.762388067147
0.32,684.472719149148
0.321,684.472719138905
0.322,684.472719129355
0.323,684.472719120452
0.324,684.472719112151
0.325,684.472719104413
0.326,684.472719097198
0.327,684.472719090472
0.328,684.472719084201
0.329,684.472719078355
0.33,681.232255720878
0.331,681.232255715797
0.332,681.23225571106
0.333,681.232255706643
0.334,681.232255702525
0.335,681.232255698686
0.336,681.232255695107
0.337,681.232255691771
0.338,681.23225568866
0.339,681.23225568576
0.34,692.002818199642
0.341,692.002818197121
0.342,692.002818194771
0.343,692.00281819258
0.344,692.002818190537
0.345,692.002818188633
0.346,692.002818186857
0.347,692.002818185202
0.348,692.002818183659
0.349,692.00281818222
0.35,688.34141136351
0.351,688.341411362259
0.352,688.341411361093
0.353,688.341411360006
0.354,688.341411358993
0.355,688.341411358048
0.356,688.341411357168
0.357,688.341411356346
0.358,688.341411355581
0.359,688.341411354867
0.36,683.072677920324
0.361,683.072677919703
0.362,683.072677919703
0.363,683.072677919703
0.364,683.072677919703
0.365,683.072677919703
0.366,683.072677919703
0.367,683.072677919703
0.368,683.072677919703
0.369,683.072677919703
0.37,682.125284792261
0.371,682.125284792261
0.372,682.125284792261
0.373,682.125284792261
0.374,682.125284792261
0.375,682.125284792261
0.376,682.125284792261
0.377,682.125284792261
0.378,682.125284792261
0.379,682.125284792261
0.38,684.736752367003
0.381,684.736752367003
0.382,684.736752367003
0.383,684.736752367003
0.384,684.736752367003
0.385,684.736752367003
0.386,684.736752367003
0.387,684.736752367003
0.388,684.736752367003
0.389,684.736752367003
0.39,687.601452733056
0.391,687.601452733056
0.392,687.601452733056
0.393,687.601452733056
0.394,687.601452733056
0.395,687.601452733056
0.396,687.601452733056
0.397,687.601452733056
0.398,687.601452733056
0.399,687.601452733056
0.4,684.363330711305
0.401,684.363330711305
0.402,684.363330711305
0.403,684.363330711305
0.404,684.363330711305
0.405,684.363330711305
0.406,684.363330711305
0.407,684.363330711305
0.408,684.363330711305
0.409,684.363330711305
0.41,681.14454580684
0.411,681.14454580684
0.412,681.14454580684
0.413,681.14454580684
0.414,681.14454580684
0.415,681.14454580684
0.416,681.14454580684
0.417,681.14454580684
0.418,681.14454580684
0.419,681.14454580684
0.42,682.329704589743
0.421,682.329704589743
0.422,682.329704589743
0.423,682.329704589743
0.424,682.329704589743
0.425,682.329704589743
0.426,682.329704589743
0.427,682.329704589743
0.428,682.329704589743
0.429,682.329704589743
0.43,685.127285986693
0.431,685.127285986693
