method,leak_id,start_time,demo_start,leak_type,year,alarmed,detected,false_alarm_before_leak,alarm_time,alarm_delay_h,threshold,calib_center,calib_scale
PlanC,p257,08-Jan-2018 13:30:00,07-Jan-2018,incipient,2018,1,1,0,03-Feb-2018 18:10:00,628.666666666667,3.52265229068275,2.70973253129442,0.789152090979986
CUSUM,p257,08-Jan-2018 13:30:00,07-Jan-2018,incipient,2018,1,1,0,10-Jan-2018 15:05:00,49.5833333333333,47.3491254587991,1.33650480623795,0.789152090979986
XBarFDM,p257,08-Jan-2018 13:30:00,07-Jan-2018,incipient,2018,1,1,0,08-Jul-2018 09:20:00,4339.83333333333,3.61832830893867,0.192959699314697,0.856342152405994
Hybrid,p257,08-Jan-2018 13:30:00,07-Jan-2018,incipient,2018,1,1,0,10-Jan-2018 15:05:00,49.5833333333333,NaN,NaN,NaN
PlanC,p461,23-Jan-2018 04:25:00,22-Jan-2018,incipient,2018,1,1,0,03-Feb-2018 20:10:00,279.75,3.45289820872075,2.65607554516981,0.678263567064038
CUSUM,p461,23-Jan-2018 04:25:00,22-Jan-2018,incipient,2018,1,1,0,02-Feb-2018 18:20:00,253.916666666667,40.6958140238423,1.27753648772579,0.678263567064038
XBarFDM,p461,23-Jan-2018 04:25:00,22-Jan-2018,incipient,2018,1,1,0,03-Feb-2018 19:45:00,279.333333333333,2.2683390014841,0.0132271631513664,0.563777959583183
Hybrid,p461,23-Jan-2018 04:25:00,22-Jan-2018,incipient,2018,1,1,0,02-Feb-2018 18:20:00,253.916666666667,NaN,NaN,NaN
PlanC,p232,31-Jan-2018 02:35:00,30-Jan-2018,incipient,2018,1,1,0,03-Feb-2018 18:15:00,87.6666666666667,3.13361238309339,2.41047106391799,0.653191096814604
CUSUM,p232,31-Jan-2018 02:35:00,30-Jan-2018,incipient,2018,1,1,0,02-Feb-2018 17:40:00,63.0833333333333,39.1914658088763,1.1208960864998,0.653191096814604
XBarFDM,p232,31-Jan-2018 02:35:00,30-Jan-2018,incipient,2018,1,1,0,03-Feb-2018 19:35:00,89,2.18286278671802,-0.0150577829315155,0.549480142412383
Hybrid,p232,31-Jan-2018 02:35:00,30-Jan-2018,incipient,2018,1,1,0,02-Feb-2018 17:40:00,63.0833333333333,NaN,NaN,NaN
PlanC,p427,13-Feb-2018 08:25:00,12-Feb-2018,incipient,2018,1,1,0,05-Mar-2018 16:40:00,488.25,3.23881550593794,2.49139654302919,0.640878470288703
CUSUM,p427,13-Feb-2018 08:25:00,12-Feb-2018,incipient,2018,1,1,0,05-Mar-2018 14:40:00,486.25,38.4527082173222,1.34211917104973,0.640878470288703
XBarFDM,p427,13-Feb-2018 08:25:00,12-Feb-2018,incipient,2018,1,1,0,06-Mar-2018 16:55:00,512.5,2.13939597475166,0.021654932610371,0.529435260535323
Hybrid,p427,13-Feb-2018 08:25:00,12-Feb-2018,incipient,2018,1,1,0,05-Mar-2018 14:40:00,486.25,NaN,NaN,NaN
PlanC,p673,05-Mar-2018 15:45:00,04-Mar-2018,abrupt,2018,1,1,0,05-Mar-2018 17:30:00,1.75,3.67486967457289,2.82682282659453,0.818322112470407
CUSUM,p673,05-Mar-2018 15:45:00,04-Mar-2018,abrupt,2018,1,1,0,05-Mar-2018 16:20:00,0.583333333333333,49.0993267482244,1.10849288613248,0.818322112470407
XBarFDM,p673,05-Mar-2018 15:45:00,04-Mar-2018,abrupt,2018,0,0,0,NaT,NaN,3.21263405707154,0.0165242647604831,0.799027448077764
Hybrid,p673,05-Mar-2018 15:45:00,04-Mar-2018,abrupt,2018,1,1,0,05-Mar-2018 16:20:00,0.583333333333333,NaN,NaN,NaN
PlanC,p810,28-Jul-2018 03:05:00,27-Jul-2018,incipient,2018,1,1,0,29-Jul-2018 01:55:00,22.8333333333333,3.41593410729168,2.6276416209936,0.530023619059358
CUSUM,p810,28-Jul-2018 03:05:00,27-Jul-2018,incipient,2018,1,1,0,28-Jul-2018 20:55:00,17.8333333333333,31.8014171435615,1.86085312058154,0.530023619059358
XBarFDM,p810,28-Jul-2018 03:05:00,27-Jul-2018,incipient,2018,1,1,0,06-Oct-2018 19:00:00,1695.91666666667,1.84169882248003,-0.123831759960165,0.491382645610048
Hybrid,p810,28-Jul-2018 03:05:00,27-Jul-2018,incipient,2018,1,1,0,28-Jul-2018 20:55:00,17.8333333333333,NaN,NaN,NaN
PlanC,p628,02-May-2018 14:55:00,01-May-2018,incipient,2018,1,1,0,13-May-2018 19:05:00,268.166666666667,3.710105487398,2.85392729799846,0.863018193539848
CUSUM,p628,02-May-2018 14:55:00,01-May-2018,incipient,2018,1,1,0,10-May-2018 14:30:00,191.583333333333,51.7810916123909,1.39365647924018,0.863018193539848
XBarFDM,p628,02-May-2018 14:55:00,01-May-2018,incipient,2018,1,1,0,18-May-2018 17:40:00,386.75,2.96279886576156,-0.0909733128690187,0.763443044657644
Hybrid,p628,02-May-2018 14:55:00,01-May-2018,incipient,2018,1,1,0,10-May-2018 14:30:00,191.583333333333,NaN,NaN,NaN
PlanC,p538,18-May-2018 08:35:00,17-May-2018,abrupt,2018,0,0,0,NaT,NaN,5.0276481287703,3.86742163751561,1.12217201834227
CUSUM,p538,18-May-2018 08:35:00,17-May-2018,abrupt,2018,1,1,0,21-May-2018 15:35:00,79,67.3303211005362,1.88114226689627,1.12217201834227
XBarFDM,p538,18-May-2018 08:35:00,17-May-2018,abrupt,2018,0,0,0,NaT,NaN,3.92328603990462,-0.226083933226993,1.0373424932829
Hybrid,p538,18-May-2018 08:35:00,17-May-2018,abrupt,2018,1,1,0,21-May-2018 15:35:00,79,NaN,NaN,NaN
PlanC,p866,01-Jun-2018 09:05:00,31-May-2018,abrupt,2018,0,0,0,NaT,NaN,4.6481282670723,3.57548328236331,1.04204204658223
CUSUM,p866,01-Jun-2018 09:05:00,31-May-2018,abrupt,2018,0,0,0,NaT,NaN,62.5225227949341,1.781296302649,1.04204204658223
XBarFDM,p866,01-Jun-2018 09:05:00,31-May-2018,abrupt,2018,0,0,0,NaT,NaN,3.72242197321383,-0.193772773674034,0.979048686721966
Hybrid,p866,01-Jun-2018 09:05:00,31-May-2018,abrupt,2018,0,0,0,NaT,NaN,NaN,NaN,NaN
