config,kind,param1,param2,param3,detected,false_alarm,abrupt_detected,incipient_detected,median_delay_h,mean_delay_h,score
CUSUM_d3.0_eta60,CUSUM,3,60,NaN,29,3,12,17,79,202.620689655172,22.21
CUSUM_d2.0_eta60,CUSUM,2,60,NaN,28,5,12,16,35.4166666666667,109.547619047619,17.6458333333333
CUSUM_d3.0_eta30,CUSUM,3,30,NaN,27,5,11,16,49.9166666666667,151.354938271605,16.5008333333333
CUSUM_d3.0_eta40,CUSUM,3,40,NaN,27,5,11,16,51.25,185.885802469136,16.4875
CUSUM_d3.0_eta20,CUSUM,3,20,NaN,27,6,11,16,22.0833333333333,100.765432098765,14.7791666666667
CUSUM_d3.0_eta15,CUSUM,3,15,NaN,26,7,11,15,20.5416666666667,55.4358974358974,11.7945833333333
XBar_w36_sig4.0_k1,XBarFDM,36,4,1,18,3,6,12,278.541666666667,717.199074074074,9.21458333333333
XBar_w36_sig4.0_k2,XBarFDM,36,4,2,18,3,6,12,278.625,740.796296296296,9.21375
XBar_w36_sig4.0_k3,XBarFDM,36,4,3,18,3,6,12,278.708333333333,743.490740740741,9.21291666666667
CUSUM_d3.0_eta10,CUSUM,3,10,NaN,25,8,11,14,17.5833333333333,48.2533333333333,8.82416666666667
CUSUM_d2.0_eta40,CUSUM,2,40,NaN,25,8,10,15,20.6666666666667,58.9466666666667,8.79333333333333
XBar_w36_sig3.0_k2,XBarFDM,36,3,2,24,7,10,14,145.833333333333,363.048611111111,8.54166666666667
XBar_w36_sig3.5_k1,XBarFDM,36,3.5,1,21,5,7,14,253,657.353174603175,8.47
XBar_w72_sig3.0_k3,XBarFDM,72,3,3,23,7,10,13,64,219.746376811594,8.36
XBar_w36_sig3.0_k3,XBarFDM,36,3,3,24,7,10,14,183.958333333333,376.440972222222,8.16041666666667
XBar_w36_sig3.5_k2,XBarFDM,36,3.5,2,20,5,6,14,247.791666666667,690.245833333333,7.52208333333333
XBar_w36_sig3.5_k3,XBarFDM,36,3.5,3,20,5,6,14,248.75,692.754166666667,7.5125
XBar_w72_sig3.5_k1,XBarFDM,72,3.5,1,22,7,10,12,117.583333333333,281.477272727273,6.82416666666667
XBar_w36_sig2.5_k1,XBarFDM,36,2.5,1,23,8,10,13,30.75,195.644927536232,6.6925
XBar_w36_sig2.5_k2,XBarFDM,36,2.5,2,23,8,10,13,30.8333333333333,198.768115942029,6.69166666666667
XBar_w36_sig2.5_k3,XBarFDM,36,2.5,3,23,8,10,13,30.9166666666667,202.054347826087,6.69083333333333
CUSUM_d1.5_eta60,CUSUM,1.5,60,NaN,24,9,10,14,18.7916666666667,54.0451388888889,5.81208333333333
XBar_w72_sig3.0_k1,XBarFDM,72,3,1,22,8,10,12,65.375,229.568181818182,5.34625
XBar_w72_sig3.0_k2,XBarFDM,72,3,2,22,8,10,12,65.4583333333333,229.651515151515,5.34541666666667
XBar_w72_sig3.5_k2,XBarFDM,72,3.5,2,21,7,9,12,167,295.511904761905,5.33
XBar_w72_sig3.5_k3,XBarFDM,72,3.5,3,21,7,9,12,167.083333333333,295.595238095238,5.32916666666667
XBar_w36_sig3.0_k1,XBarFDM,36,3,1,23,8,10,13,219,374.572463768116,4.81
XBar_w72_sig2.5_k1,XBarFDM,72,2.5,1,23,9,9,14,45,300.057971014493,4.55
XBar_w72_sig2.5_k2,XBarFDM,72,2.5,2,23,9,9,14,45.0833333333333,300.141304347826,4.54916666666667
XBar_w72_sig2.5_k3,XBarFDM,72,2.5,3,23,9,9,14,45.1666666666667,300.224637681159,4.54833333333333
XBar_w36_sig5.0_k1,XBarFDM,36,5,1,14,3,5,9,447.75,566.339285714286,3.5225
XBar_w36_sig5.0_k2,XBarFDM,36,5,2,14,3,5,9,447.833333333333,604.440476190476,3.52166666666667
XBar_w72_sig4.0_k1,XBarFDM,72,4,1,20,7,8,12,261.291666666667,452.329166666667,3.38708333333333
XBar_w72_sig4.0_k2,XBarFDM,72,4,2,20,7,8,12,271.041666666667,460.558333333333,3.28958333333333
XBar_w72_sig4.0_k3,XBarFDM,72,4,3,20,7,8,12,271.125,460.641666666667,3.28875
CUSUM_d1.0_eta60,CUSUM,1,60,NaN,23,10,10,13,16,32.8985507246377,2.84
XBar_w36_sig5.0_k3,XBarFDM,36,5,3,13,3,5,8,448.416666666667,659.314102564102,2.51583333333333
XBar_w72_sig5.0_k1,XBarFDM,72,5,1,17,5,6,11,455.5,717.539215686274,2.445
XBar_w72_sig5.0_k2,XBarFDM,72,5,2,17,5,6,11,455.583333333333,717.622549019608,2.44416666666667
XBar_w72_sig5.0_k3,XBarFDM,72,5,3,17,5,6,11,455.666666666667,721.916666666667,2.44333333333333
CUSUM_d2.0_eta30,CUSUM,2,30,NaN,22,11,9,13,17.7916666666667,37.8787878787879,-0.177916666666667
CUSUM_d2.0_eta20,CUSUM,2,20,NaN,21,12,9,12,14.5833333333333,32.8253968253968,-3.14583333333333
CUSUM_d1.5_eta40,CUSUM,1.5,40,NaN,21,12,9,12,15.3333333333333,38.0277777777778,-3.15333333333333
CUSUM_d1.0_eta40,CUSUM,1,40,NaN,20,13,9,11,13.875,25.0666666666667,-6.13875
CUSUM_d1.5_eta30,CUSUM,1.5,30,NaN,20,13,9,11,14.4166666666667,31.8041666666667,-6.14416666666667
CUSUM_d3.0_eta5,CUSUM,3,5,NaN,20,13,9,11,17.7916666666667,30.675,-6.17791666666667
CUSUM_d2.0_eta15,CUSUM,2,15,NaN,20,13,9,11,18,33.6166666666667,-6.18
CUSUM_d1.0_eta20,CUSUM,1,20,NaN,19,14,9,10,7.16666666666667,13.6228070175439,-9.07166666666667
CUSUM_d1.5_eta15,CUSUM,1.5,15,NaN,19,14,9,10,7.83333333333333,16.3859649122807,-9.07833333333333
CUSUM_d1.0_eta30,CUSUM,1,30,NaN,19,14,9,10,10.1666666666667,20.4561403508772,-9.10166666666667
CUSUM_d1.5_eta20,CUSUM,1.5,20,NaN,19,14,9,10,12,21.4780701754386,-9.12
CUSUM_d2.0_eta10,CUSUM,2,10,NaN,19,14,9,10,12.25,23.8070175438597,-9.1225
CUSUM_d1.5_eta10,CUSUM,1.5,10,NaN,18,15,8,10,6.75,11.25,-12.0675
CUSUM_d1.0_eta15,CUSUM,1,15,NaN,17,16,7,10,6.41666666666667,8.16176470588235,-15.0641666666667
CUSUM_d2.0_eta5,CUSUM,2,5,NaN,14,19,6,8,9.54166666666667,16.3511904761905,-24.0954166666667
CUSUM_d1.5_eta5,CUSUM,1.5,5,NaN,13,20,5,8,5.16666666666667,6.08974358974359,-27.0516666666667
CUSUM_d1.0_eta10,CUSUM,1,10,NaN,13,20,6,7,5.25,6.52564102564103,-27.0525
CUSUM_d1.0_eta5,CUSUM,1,5,NaN,11,22,5,6,4.83333333333333,6.73484848484848,-33.0483333333333
