leak_id,start_time,leak_type,diameter_mm,year,top1_distance,top5_min_distance,top10_min_distance,mean_top10_distance,top1_correlation,within_300m_top1,within_300m_top10
p257,08-Jan-2018 13:30:00,incipient,11.843,2018,22.8491055623628,22.8491055623628,22.8491055623628,141.968581454503,0.800898722755937,1,1
p461,23-Jan-2018 04:25:00,incipient,21.32,2018,957.572314514679,957.572314514679,912.105724971069,1036.64785082592,0.952301246025588,0,0
p232,31-Jan-2018 02:35:00,incipient,20.108,2018,37.1489757597702,37.1489757597702,37.1489757597702,79.366150850611,0.998362484153539,1,1
p427,13-Feb-2018 08:25:00,incipient,9.0731,2018,1041.38358758913,1041.38358758913,1008.25131083475,1089.72272803219,0.0570797976286673,0,0
p673,05-Mar-2018 15:45:00,abrupt,22.916,2018,142.02805224673,22.1116943041459,22.1116943041459,119.11349668336,0.98787708387799,1,1
p810,28-Jul-2018 03:05:00,incipient,10.028,2018,2012.22934891254,2012.22934891254,2012.22934891254,2066.22879233277,0.769807750130412,0,0
p628,02-May-2018 14:55:00,incipient,22.318,2018,331.601984991043,289.846770294237,289.846770294237,347.799522340721,0.998180239126979,0,1
p538,18-May-2018 08:35:00,abrupt,21.731,2018,95.9175709919721,58.8830155902362,58.8830155902362,165.625207344762,0.997127110066548,1,1
p866,01-Jun-2018 09:05:00,abrupt,18.108,2018,2429.10400446337,2395.13737113344,2207.6841633259,2394.08542815389,0.0146610437214534,0,0
p31,28-Jun-2018 10:35:00,incipient,16.389,2018,1022.76198850221,813.56059904902,813.56059904902,1049.00285202482,0.967603922175405,0,0
p654,05-Jul-2018 03:40:00,incipient,8.7735,2018,531.465210573562,490.149230796091,412.933603682238,561.794547121134,0.980808915863245,0,0
p183,07-Aug-2018 02:35:00,abrupt,15.853,2018,101.986667020743,101.986667020743,57.9032524993197,261.456090361669,0.349213141295537,1,1
p158,06-Oct-2018 02:35:00,abrupt,19.364,2018,107.752709710708,60.100890592403,30.6115280572532,120.863998411559,0.998753743599738,1,1
p369,26-Oct-2018 02:05:00,abrupt,19.363,2018,223.252435597017,170.752504520432,140.71068900407,245.123683867405,0.911178556571547,1,1
p523,15-Jan-2019 23:00:00,abrupt,20.246,2019,202.969385437804,132.139279266235,69.8386542324521,167.058690367339,0.95583594594052,1,1
p827,24-Jan-2019 18:30:00,abrupt,20.25,2019,177.891382941951,25.4158262702592,25.4158262702592,143.731523965255,0.908963329460695,1,1
p280,10-Feb-2019 13:05:00,abrupt,9.5008,2019,127.341830224793,127.341830224793,97.4862330024091,145.064660110097,0.222155939606441,1,1
p653,03-Mar-2019 13:10:00,incipient,16.035,2019,416.661572052187,362.473821158163,328.245897346791,390.079025889095,0.974574845768874,0,0
p710,24-Mar-2019 14:15:00,abrupt,9.2936,2019,517.879644536257,469.19880980774,405.42444021667,540.459563300122,0.979709174309932,0,0
p514,02-Apr-2019 20:40:00,abrupt,14.979,2019,111.295239902702,96.0664505693844,41.8139070764739,124.783249516216,0.991281313741638,1,1
p331,20-Apr-2019 10:10:00,abrupt,14.053,2019,158.775936778846,151.033883615565,151.033883615565,199.10493647136,0.991985186007623,1,1
p193,19-May-2019 10:40:00,incipient,12.39,2019,2312.37396716556,596.360910795636,596.360910795636,2213.86533200527,0,0,0
p277,30-May-2019 21:55:00,incipient,12.089,2019,1190.16124585075,1149.22582042217,1007.09691391891,1197.19879182711,0.964701766614447,0,0
p142,12-Jun-2019 19:55:00,abrupt,19.857,2019,148.338644071597,90.6128209747384,51.7672157354439,219.59576357447,0.998864517741403,1,1
p680,10-Jul-2019 08:45:00,abrupt,9.7197,2019,1493.34926271452,1439.1381417536,1424.27023476937,1498.249607999,0.447481488708607,0,0
p586,26-Jul-2019 14:40:00,incipient,17.184,2019,1279.16522382763,1192.81957397169,1151.35536922794,1230.55170861349,0.618247439325888,0,0
p721,02-Aug-2019 03:00:00,incipient,14.08,2019,1318.9734092278,1011.89941044058,1011.89941044058,1420.38002080492,0,0,0
p800,16-Aug-2019 14:00:00,incipient,18.847,2019,1898.87705087112,1824.08247029157,1811.97018858617,1861.70978683132,0.896105851466451,0,0
p123,13-Sep-2019 20:05:00,incipient,11.906,2019,438.254248410669,438.254248410669,438.254248410669,1072.44693065633,0,0,0
p455,03-Oct-2019 14:00:00,incipient,12.722,2019,1204.17225115429,775.485097890346,775.485097890346,1065.27781487583,0.000680066415799894,0,0
p762,09-Oct-2019 10:15:00,incipient,15.19,2019,1799.22696935378,1792.74595842523,1792.74595842523,1837.63472791232,0.324705053314641,0,0
p426,25-Oct-2019 13:25:00,abrupt,15.008,2019,217.268086531363,74.1542637007475,24.7162704508589,224.812832146661,0.986249914365663,1,1
p879,20-Nov-2019 11:55:00,incipient,13.195,2019,764.27867484642,764.27867484642,764.27867484642,801.593173294971,0.938915441424894,0,0
