leak_id,true_pipe_id,true_node,leak_type,alarm_time,method_name,predicted_node,top1_error_m,top5_min_error_m,top10_min_error_m,candidate_count,xgb_top1_zone,xgb_top3_zones,zone_hit_top1,zone_hit_top3,true_sensitivity_strength,weak_sensitivity_q20,blind_sensitivity_q10,confidence_gap,confidence_ratio,true_zone_id,predicted_zone_id,failure_mode,top1_success_300m,top5_success_300m,top10_success_300m
p461,p461,n106,incipient,02-Feb-2018 18:20:00,Global sensitivity,n586,963.731167818598,842.87281343332,815.368933443628,782,NaN,,NaN,NaN,0.154942246943716,0,0,4.53023952048381e-05,1.00004554150124,20,11,residual_ambiguity_or_model_mismatch,0,0,0
p461,p461,n106,incipient,02-Feb-2018 18:20:00,MAS sensitivity,n587,950.075867299554,838.632917386982,806.811502908207,78,NaN,,NaN,NaN,0.154942246943716,0,0,0.000286445106228217,1.00028804526108,20,11,residual_ambiguity_or_model_mismatch,0,0,0
p461,p461,n106,incipient,02-Feb-2018 18:20:00,XGBoost top-3 zones + sensitivity,n586,963.731167818598,842.87281343332,815.368933443628,79,27,27|11|8,0,0,0.154942246943716,0,0,4.53023952048381e-05,1.00004554150124,20,11,wrong_candidate_reduction,0,0,0
p523,p523,n132,abrupt,16-Jan-2019 17:20:00,Global sensitivity,n524,67.1554206672849,22.0638193656493,22.0638193656493,782,NaN,,NaN,NaN,0.15732995617933,0,0,0.00012173219636924,1.00012212192752,20,15,success_top1,1,1,1
p523,p523,n132,abrupt,16-Jan-2019 17:20:00,MAS sensitivity,n524,67.1554206672849,22.0638193656493,22.0638193656493,78,NaN,,NaN,NaN,0.15732995617933,0,0,0.00012173219636924,1.00012212192752,20,15,success_top1,1,1,1
p523,p523,n132,abrupt,16-Jan-2019 17:20:00,XGBoost top-3 zones + sensitivity,n524,67.1554206672849,22.0638193656493,22.0638193656493,83,15,15|20|2,0,1,0.15732995617933,0,0,0.00012173219636924,1.00012212192752,20,15,success_top1,1,1,1
p538,p538,n147,abrupt,21-May-2018 15:35:00,Global sensitivity,n151,95.9175709919721,19.7120806867261,19.7120806867261,782,NaN,,NaN,NaN,0.158873284460557,0,0,0.000161990787891142,1.00016227074729,15,15,success_top1,1,1,1
p538,p538,n147,abrupt,21-May-2018 15:35:00,MAS sensitivity,n151,95.9175709919721,19.7120806867261,19.7120806867261,78,NaN,,NaN,NaN,0.158873284460557,0,0,0.000161990787891142,1.00016227074729,15,15,success_top1,1,1,1
p538,p538,n147,abrupt,21-May-2018 15:35:00,XGBoost top-3 zones + sensitivity,n151,95.9175709919721,19.7120806867261,19.7120806867261,90,15,15|2|28,1,1,0.158873284460557,0,0,0.000161990787891142,1.00016227074729,15,15,success_top1,1,1,1
p123,p123,n159,incipient,29-Sep-2019 02:00:00,Global sensitivity,n1,1086.48449415995,1017.36247672597,809.123494313445,782,NaN,,NaN,NaN,0.209416059099822,0,0,0.0022183944252314,1.03715718153296,12,30,residual_ambiguity_or_model_mismatch,0,0,0
p123,p123,n159,incipient,29-Sep-2019 02:00:00,MAS sensitivity,n604,549.103498486396,149.716066105145,144.83408732063,78,NaN,,NaN,NaN,0.209416059099822,0,0,0.0016570752727858,-0.997909692682376,12,27,residual_ambiguity_top10_success,0,1,1
p123,p123,n159,incipient,29-Sep-2019 02:00:00,XGBoost top-3 zones + sensitivity,n1,1086.48449415995,1017.36247672597,884.37208676552,71,13,13|30|24,0,0,0.209416059099822,0,0,0.0022183944252314,1.03715718153296,12,30,wrong_candidate_reduction,0,0,0
p142,p142,n196,abrupt,13-Jun-2019 10:30:00,Global sensitivity,n465,158.102571531901,148.338644071597,131.736310958672,782,NaN,,NaN,NaN,0.224102601628119,0,0,4.27711205168713e-05,1.00004404119844,11,11,success_top1,1,1,1
p142,p142,n196,abrupt,13-Jun-2019 10:30:00,MAS sensitivity,n599,307.578475555426,244.166544647296,51.7672157354439,78,NaN,,NaN,NaN,0.224102601628119,0,0,1.15078205231711e-06,1.00000118423705,11,17,residual_ambiguity_top10_success,0,1,1
p142,p142,n196,abrupt,13-Jun-2019 10:30:00,XGBoost top-3 zones + sensitivity,n601,381.179916345287,235.69333279709,235.69333279709,85,5,5|8|7,0,0,0.224102601628119,0,0,0.000229219462625441,1.0002362003325,11,8,residual_ambiguity_top10_success,0,1,1
p673,p673,n206,abrupt,05-Mar-2018 16:20:00,Global sensitivity,n237,176.924369788336,22.1116943041459,22.1116943041459,782,NaN,,NaN,NaN,0.183637544372047,0,0,4.67208093635207e-06,1.00000469356129,8,23,success_top1,1,1,1
p673,p673,n206,abrupt,05-Mar-2018 16:20:00,MAS sensitivity,n237,176.924369788336,99.8165393359237,90.481377780182,78,NaN,,NaN,NaN,0.183637544372047,0,0,4.67208093635207e-06,1.00000469356129,8,23,success_top1,1,1,1
p673,p673,n206,abrupt,05-Mar-2018 16:20:00,XGBoost top-3 zones + sensitivity,n237,176.924369788336,22.1116943041459,22.1116943041459,77,23,23|8|24,0,1,0.183637544372047,0,0,4.67208093635207e-06,1.00000469356129,8,23,success_top1,1,1,1
p280,p280,n23,abrupt,15-Feb-2019 22:35:00,Global sensitivity,n436,618.264880391083,567.482108374352,523.234329555124,782,NaN,,NaN,NaN,0.10197150062498,1,1,9.69214448046651e-05,1.00009795888077,13,7,weak_sensitivity_region,0,0,0
p280,p280,n23,abrupt,15-Feb-2019 22:35:00,MAS sensitivity,n436,618.264880391083,523.234329555124,479.120138717838,78,NaN,,NaN,NaN,0.10197150062498,1,1,9.69214448046651e-05,1.00009795888077,13,7,weak_sensitivity_region,0,0,0
p280,p280,n23,abrupt,15-Feb-2019 22:35:00,XGBoost top-3 zones + sensitivity,n436,618.264880391083,567.482108374352,523.234329555124,85,7,7|18|5,0,0,0.10197150062498,1,1,9.69214448046651e-05,1.00009795888077,13,7,wrong_candidate_reduction,0,0,0
p680,p680,n231,abrupt,11-Jul-2019 05:15:00,Global sensitivity,n638,215.445733886749,170.362402689091,126.792899051958,782,NaN,,NaN,NaN,0.192082366735114,0,0,0.000129928838081605,1.00013142338042,23,3,success_top1,1,1,1
p680,p680,n231,abrupt,11-Jul-2019 05:15:00,MAS sensitivity,n638,215.445733886749,113.005124883786,77.250900641999,78,NaN,,NaN,NaN,0.192082366735114,0,0,0.00142650811431744,1.00144482190101,23,3,success_top1,1,1,1
p680,p680,n231,abrupt,11-Jul-2019 05:15:00,XGBoost top-3 zones + sensitivity,n638,215.445733886749,170.362402689091,126.792899051958,86,3,3|23|8,0,1,0.192082366735114,0,0,0.000129928838081605,1.00013142338042,23,3,success_top1,1,1,1
p158,p158,n232,abrupt,06-Oct-2018 20:10:00,Global sensitivity,n645,223.394613744378,138.022012193708,105.276247321036,782,NaN,,NaN,NaN,0.193381125530352,0,0,7.79600112743584e-06,1.00000784144204,3,3,success_top1,1,1,1
p158,p158,n232,abrupt,06-Oct-2018 20:10:00,MAS sensitivity,n645,223.394613744378,138.022012193708,105.276247321036,78,NaN,,NaN,NaN,0.193381125530352,0,0,7.79600112743584e-06,1.00000784144204,3,3,success_top1,1,1,1
p158,p158,n232,abrupt,06-Oct-2018 20:10:00,XGBoost top-3 zones + sensitivity,n645,223.394613744378,138.022012193708,105.276247321036,79,3,3|14|23,1,1,0.193381125530352,0,0,7.79600112743584e-06,1.00000784144204,3,3,success_top1,1,1,1
p762,p762,n264,incipient,29-Oct-2019 17:10:00,Global sensitivity,n335,756.341578025431,653.985745295721,584.128535897708,782,NaN,,NaN,NaN,0.182877152851456,0,0,9.28906554553688e-05,1.00011002739899,14,17,residual_ambiguity_or_model_mismatch,0,0,0
p762,p762,n264,incipient,29-Oct-2019 17:10:00,MAS sensitivity,n776,802.524821329534,802.524821329534,802.524821329534,78,NaN,,NaN,NaN,0.182877152851456,0,0,0.000525871940231015,1.00062341124554,14,17,residual_ambiguity_or_model_mismatch,0,0,0
p762,p762,n264,incipient,29-Oct-2019 17:10:00,XGBoost top-3 zones + sensitivity,n340,848.719405369053,501.072897141723,501.072897141723,76,5,5|8|23,0,0,0.182877152851456,0,0,0.000811678511641323,1.00096315695799,14,5,wrong_candidate_reduction,0,0,0
p800,p800,n295,incipient,21-Aug-2019 12:00:00,Global sensitivity,n343,1986.97346973355,1986.97346973355,1986.97346973355,782,NaN,,NaN,NaN,0.12474948673503,1,0,0.000144471295005721,1.00016980129248,21,24,low_sensitivity_region,0,0,0
p800,p800,n295,incipient,21-Aug-2019 12:00:00,MAS sensitivity,n42,2115.29856302249,2115.29856302249,2115.29856302249,78,NaN,,NaN,NaN,0.12474948673503,1,0,7.28215729173254e-05,1.00008572006341,21,9,low_sensitivity_region,0,0,0
p800,p800,n295,incipient,21-Aug-2019 12:00:00,XGBoost top-3 zones + sensitivity,n343,1986.97346973355,1986.97346973355,1986.97346973355,73,24,24|30|9,0,0,0.12474948673503,1,0,0.000144471295005721,1.00016980129248,21,24,wrong_candidate_reduction,0,0,0
p183,p183,n299,abrupt,08-Aug-2018 11:05:00,Global sensitivity,n305,31.368717697732,31.368717697732,31.368717697732,782,NaN,,NaN,NaN,0.168602531896923,0,0,0.000189597283180465,1.0002495256418,4,29,success_top1,1,1,1
p183,p183,n299,abrupt,08-Aug-2018 11:05:00,MAS sensitivity,n305,31.368717697732,31.368717697732,31.368717697732,78,NaN,,NaN,NaN,0.168602531896923,0,0,0.000189597283180465,1.0002495256418,4,29,success_top1,1,1,1
p183,p183,n299,abrupt,08-Aug-2018 11:05:00,XGBoost top-3 zones + sensitivity,n742,98.8763027727068,98.8763027727068,98.8763027727068,65,30,30|1|23,0,0,0.168602531896923,0,0,5.27866241305519e-05,1.00006949359337,4,1,success_top1,1,1,1
p193,p193,n326,incipient,13-Jun-2019 13:10:00,Global sensitivity,n341,1396.29221809942,1348.00087059505,1301.80335190266,782,NaN,,NaN,NaN,0.171177197652218,0,0,0.00032866690524358,1.00033421010773,10,17,residual_ambiguity_or_model_mismatch,0,0,0
p193,p193,n326,incipient,13-Jun-2019 13:10:00,MAS sensitivity,n198,1379.90374197804,1239.48749494499,1204.38854026639,78,NaN,,NaN,NaN,0.171177197652218,0,0,0.000848181413378613,1.00086462602308,10,17,residual_ambiguity_or_model_mismatch,0,0,0
p193,p193,n326,incipient,13-Jun-2019 13:10:00,XGBoost top-3 zones + sensitivity,n341,1396.29221809942,1348.00087059505,1272.34994471843,77,5,5|17|8,0,0,0.171177197652218,0,0,0.00032866690524358,1.00033421010773,10,17,wrong_candidate_reduction,0,0,0
p257,p257,n351,incipient,10-Jan-2018 15:05:00,Global sensitivity,n4,267.15091133103,211.012161557101,211.012161557101,782,NaN,,NaN,NaN,0.120898473709335,1,0,0.0577111496239158,1.24576208177554,30,13,success_top1,1,1,1
p257,p257,n351,incipient,10-Jan-2018 15:05:00,MAS sensitivity,n4,267.15091133103,22.8491055623628,22.8491055623628,78,NaN,,NaN,NaN,0.120898473709335,1,0,0.0577111496239158,1.24576208177554,30,13,success_top1,1,1,1
p257,p257,n351,incipient,10-Jan-2018 15:05:00,XGBoost top-3 zones + sensitivity,n4,267.15091133103,211.012161557101,211.012161557101,73,22,22|13|30,0,1,0.120898473709335,1,0,0.0577111496239158,1.24576208177554,30,13,success_top1,1,1,1
p277,p277,n363,incipient,31-May-2019 21:15:00,Global sensitivity,n54,341.19043527772,341.19043527772,341.19043527772,782,NaN,,NaN,NaN,0.098604271411272,1,1,0.00207749817873881,1.0028658813661,6,18,weak_sensitivity_region,0,0,0
p277,p277,n363,incipient,31-May-2019 21:15:00,MAS sensitivity,n54,341.19043527772,341.19043527772,341.19043527772,78,NaN,,NaN,NaN,0.098604271411272,1,1,0.00207749817873881,1.0028658813661,6,18,weak_sensitivity_region,0,0,0
p277,p277,n363,incipient,31-May-2019 21:15:00,XGBoost top-3 zones + sensitivity,n54,341.19043527772,341.19043527772,341.19043527772,83,9,9|18|24,0,0,0.098604271411272,1,1,0.00207749817873881,1.0028658813661,6,18,wrong_candidate_reduction,0,0,0
p331,p331,n399,abrupt,22-Apr-2019 11:50:00,Global sensitivity,n55,203.730165905788,142.002496456929,54.5335786465549,782,NaN,,NaN,NaN,0.213187425430394,0,0,5.05321711363749e-07,1.00000072070456,7,24,success_top1,1,1,1
p331,p331,n399,abrupt,22-Apr-2019 11:50:00,MAS sensitivity,n55,203.730165905788,142.002496456929,54.5335786465549,78,NaN,,NaN,NaN,0.213187425430394,0,0,5.05321711363749e-07,1.00000072070456,7,24,success_top1,1,1,1
p331,p331,n399,abrupt,22-Apr-2019 11:50:00,XGBoost top-3 zones + sensitivity,n55,203.730165905788,142.002496456929,54.5335786465549,89,9,9|24|7,0,1,0.213187425430394,0,0,5.05321711363749e-07,1.00000072070456,7,24,success_top1,1,1,1
p31,p31,n40,incipient,16-Jul-2018 03:50:00,Global sensitivity,n87,742.985448461139,657.0042302946,518.120674577844,782,NaN,,NaN,NaN,0.095477240496185,1,1,4.01602102415577e-05,1.00004401494455,9,5,weak_sensitivity_region,0,0,0
p31,p31,n40,incipient,16-Jul-2018 03:50:00,MAS sensitivity,n79,562.240452142142,474.173002104717,331.53037617238,78,NaN,,NaN,NaN,0.095477240496185,1,1,0.000357736126481378,1.00039268876511,9,7,weak_sensitivity_region,0,0,0
p31,p31,n40,incipient,16-Jul-2018 03:50:00,XGBoost top-3 zones + sensitivity,n87,742.985448461139,657.0042302946,518.120674577844,85,5,5|7|8,0,0,0.095477240496185,1,1,4.01602102415577e-05,1.00004401494455,9,5,wrong_candidate_reduction,0,0,0
p369,p369,n423,abrupt,26-Oct-2018 18:10:00,Global sensitivity,n438,87.7250483043469,87.7250483043469,64.3616920225068,782,NaN,,NaN,NaN,0.204127460964407,0,0,0.000280762618799169,1.00028674089746,7,7,success_top1,1,1,1
p369,p369,n423,abrupt,26-Oct-2018 18:10:00,MAS sensitivity,n438,87.7250483043469,87.7250483043469,64.3616920225068,78,NaN,,NaN,NaN,0.204127460964407,0,0,0.000280762618799169,1.00028674089746,7,7,success_top1,1,1,1
p369,p369,n423,abrupt,26-Oct-2018 18:10:00,XGBoost top-3 zones + sensitivity,n438,87.7250483043469,87.7250483043469,64.3616920225068,86,7,7|24|18,1,1,0.204127460964407,0,0,0.000280762618799169,1.00028674089746,7,7,success_top1,1,1,1
p427,p427,n462,incipient,05-Mar-2018 14:40:00,Global sensitivity,n206,450.567472638672,450.567472638672,449.320256498636,782,NaN,,NaN,NaN,0.204434806181884,0,0,1.17298245998487e-05,1.00001192718865,5,8,residual_ambiguity_or_model_mismatch,0,0,0
p427,p427,n462,incipient,05-Mar-2018 14:40:00,MAS sensitivity,n237,649.254983038251,649.254983038251,540.846242937861,78,NaN,,NaN,NaN,0.204434806181884,0,0,0.000393151265801972,1.00039996241625,5,23,residual_ambiguity_or_model_mismatch,0,0,0
p427,p427,n462,incipient,05-Mar-2018 14:40:00,XGBoost top-3 zones + sensitivity,n206,450.567472638672,450.567472638672,449.320256498636,86,23,23|8|3,0,0,0.204434806181884,0,0,1.17298245998487e-05,1.00001192718865,5,8,wrong_candidate_reduction,0,0,0
p232,p232,n465,incipient,02-Feb-2018 17:40:00,Global sensitivity,n586,57.6394673813004,37.1489757597702,37.1489757597702,782,NaN,,NaN,NaN,0.207389343329417,0,0,4.53733869612005e-05,1.00004557721941,11,11,success_top1,1,1,1
