leak_id,true_pipe_id,true_node,leak_type,alarm_time,method_name,predicted_node,top1_error_m,top5_min_error_m,top10_min_error_m,candidate_count,xgb_top1_zone,xgb_top3_zones,zone_hit_top1,zone_hit_top3
p257,p257,n351,incipient,10-Jan-2018 15:05:00,Global sensitivity,n4,267.15091133103,211.012161557101,211.012161557101,782,NaN,,NaN,NaN
p257,p257,n351,incipient,10-Jan-2018 15:05:00,MAS sensitivity,n4,267.15091133103,22.8491055623628,22.8491055623628,78,NaN,,NaN,NaN
p257,p257,n351,incipient,10-Jan-2018 15:05:00,XGBoost top-3 zones + sensitivity,n4,267.15091133103,211.012161557101,211.012161557101,73,22,22|13|30,0,1
p461,p461,n106,incipient,02-Feb-2018 18:20:00,Global sensitivity,n586,963.731167818598,842.87281343332,815.368933443628,782,NaN,,NaN,NaN
p461,p461,n106,incipient,02-Feb-2018 18:20:00,MAS sensitivity,n587,950.075867299554,838.632917386982,806.811502908207,78,NaN,,NaN,NaN
p461,p461,n106,incipient,02-Feb-2018 18:20:00,XGBoost top-3 zones + sensitivity,n586,963.731167818598,842.87281343332,815.368933443628,79,27,27|11|8,0,0
p232,p232,n465,incipient,02-Feb-2018 17:40:00,Global sensitivity,n586,57.6394673813004,37.1489757597702,37.1489757597702,782,NaN,,NaN,NaN
p232,p232,n465,incipient,02-Feb-2018 17:40:00,MAS sensitivity,n587,94.20662662467,94.20662662467,94.20662662467,78,NaN,,NaN,NaN
p232,p232,n465,incipient,02-Feb-2018 17:40:00,XGBoost top-3 zones + sensitivity,n586,57.6394673813004,37.1489757597702,37.1489757597702,79,27,27|11|8,0,1
p427,p427,n462,incipient,05-Mar-2018 14:40:00,Global sensitivity,n206,450.567472638672,450.567472638672,449.320256498636,782,NaN,,NaN,NaN
p427,p427,n462,incipient,05-Mar-2018 14:40:00,MAS sensitivity,n237,649.254983038251,649.254983038251,540.846242937861,78,NaN,,NaN,NaN
p427,p427,n462,incipient,05-Mar-2018 14:40:00,XGBoost top-3 zones + sensitivity,n206,450.567472638672,450.567472638672,449.320256498636,86,23,23|8|3,0,0
p673,p673,n206,abrupt,05-Mar-2018 16:20:00,Global sensitivity,n237,176.924369788336,22.1116943041459,22.1116943041459,782,NaN,,NaN,NaN
p673,p673,n206,abrupt,05-Mar-2018 16:20:00,MAS sensitivity,n237,176.924369788336,99.8165393359237,90.481377780182,78,NaN,,NaN,NaN
p673,p673,n206,abrupt,05-Mar-2018 16:20:00,XGBoost top-3 zones + sensitivity,n237,176.924369788336,22.1116943041459,22.1116943041459,77,23,23|8|24,0,1
p810,p810,n717,incipient,28-Jul-2018 20:55:00,Global sensitivity,n111,1983.14237827873,603.426652232896,432.208706674218,782,NaN,,NaN,NaN
p810,p810,n717,incipient,28-Jul-2018 20:55:00,MAS sensitivity,n1,2550.28118050246,1846.67548411328,1791.34123274294,78,NaN,,NaN,NaN
p810,p810,n717,incipient,28-Jul-2018 20:55:00,XGBoost top-3 zones + sensitivity,n111,1983.14237827873,603.426652232896,603.426652232896,69,22,22|26|6,0,0
p628,p628,n590,incipient,10-May-2018 14:30:00,Global sensitivity,n586,331.601984991043,314.422889195427,289.846770294237,782,NaN,,NaN,NaN
p628,p628,n590,incipient,10-May-2018 14:30:00,MAS sensitivity,n587,289.846770294237,187.804856300363,142.024277678149,78,NaN,,NaN,NaN
p628,p628,n590,incipient,10-May-2018 14:30:00,XGBoost top-3 zones + sensitivity,n586,331.601984991043,314.422889195427,289.846770294237,79,8,8|27|11,0,1
p538,p538,n147,abrupt,21-May-2018 15:35:00,Global sensitivity,n151,95.9175709919721,19.7120806867261,19.7120806867261,782,NaN,,NaN,NaN
p538,p538,n147,abrupt,21-May-2018 15:35:00,MAS sensitivity,n151,95.9175709919721,19.7120806867261,19.7120806867261,78,NaN,,NaN,NaN
p538,p538,n147,abrupt,21-May-2018 15:35:00,XGBoost top-3 zones + sensitivity,n151,95.9175709919721,19.7120806867261,19.7120806867261,90,15,15|2|28,1,1
p31,p31,n40,incipient,16-Jul-2018 03:50:00,Global sensitivity,n87,742.985448461139,657.0042302946,518.120674577844,782,NaN,,NaN,NaN
p31,p31,n40,incipient,16-Jul-2018 03:50:00,MAS sensitivity,n79,562.240452142142,474.173002104717,331.53037617238,78,NaN,,NaN,NaN
p31,p31,n40,incipient,16-Jul-2018 03:50:00,XGBoost top-3 zones + sensitivity,n87,742.985448461139,657.0042302946,518.120674577844,85,5,5|7|8,0,0
p654,p654,n610,incipient,19-Jul-2018 10:05:00,Global sensitivity,n343,1006.73290333137,992.766872055066,992.766872055066,782,NaN,,NaN,NaN
p654,p654,n610,incipient,19-Jul-2018 10:05:00,MAS sensitivity,n42,1004.9917238714,1004.9917238714,1004.9917238714,78,NaN,,NaN,NaN
p654,p654,n610,incipient,19-Jul-2018 10:05:00,XGBoost top-3 zones + sensitivity,n343,1006.73290333137,992.766872055066,992.766872055066,73,24,24|9|30,0,0
