junction_id,junction_index,x,y,zone_id
n1,1,138.22,1549.64,30
n2,2,274.23,1504.56,30
n3,3,271.28,1480.96,30
n4,4,186.62,1326.65,13
n5,5,158.93,1233.34,13
n6,6,261.33,1361.98,30
n7,7,369.97,1543.26,30
n8,8,162.65,1181.32,13
n9,9,256.54,1318.85,13
n10,10,361.45,1475.42,30
n11,11,167.14,1118.61,13
n12,12,271.09,1281.28,13
n13,13,170.68,1059.78,13
n14,14,302.24,1279.26,13
n15,15,344.84,1347.41,6
n16,16,336.37,1277.06,13
n17,17,177.12,987.98,9
n18,18,331.16,1227.21,13
n19,19,439.91,1391.07,6
n20,20,325.78,1173.23,13
n21,21,181.22,914.67,9
n22,22,525.83,1490.19,6
n23,23,314.66,1113.15,13
n24,24,393.3,1207.5,13
n25,25,195.95,860.16,9
n26,26,309.66,1037.48,9
n27,27,378.84,1136.18,13
n28,28,305.94,1008.07,9
n29,29,482.97,1314.28,6
n30,30,575.55,1471.84,6
n31,31,361.51,1100.77,13
n32,32,478.09,1296.3,6
n33,33,300.29,964.57,9
n34,34,423.91,1120.35,13
n35,35,292.4,892.5,9
n36,36,525.89,1281.28,6
n37,37,405.03,1063.3,9
n38,38,288.82,853.94,9
n39,39,389.45,1016.1,9
n40,40,370.29,938.65,9
n41,41,566.53,1268.51,24
n42,42,403.76,973.45,9
n43,43,432.65,1003.48,9
n44,44,526.16,1162.06,24
n45,45,460.34,1032.96,9
n46,46,574.86,1216.08,24
n47,47,570.9,1208.08,24
n48,48,617.95,1261.56,24
n49,49,519.13,1067.77,9
n50,50,727,1399.94,24
n51,51,445.94,892.44,9
n52,52,512.28,995.79,9
n53,53,444.76,848.99,9
n54,54,621.8,1124.08,18
n55,55,777.67,1368.09,24
n56,56,566.99,994.58,18
n57,57,609.29,1055,18
n58,58,526.2,889.83,9
n59,59,768.71,1259.78,24
n60,60,716.93,1123.7,18
n61,61,725.87,1121.15,18
n62,62,724.95,1097.08,18
n63,63,761.12,1142.36,18
n64,64,722.95,1058.3,18
n65,65,760.67,1111.34,18
n66,66,722.29,1043.96,18
n67,67,719.53,990.91,18
n68,68,906.24,1259.09,7
n69,69,674.2,852.92,18
n70,70,716.36,917.96,18
n71,71,745.58,918.67,18
n72,72,855.04,1060.67,7
n73,73,856.14,1039.65,7
n74,74,857.37,1016.18,7
n75,75,975.58,1204.22,7
n76,76,861.89,948.46,7
n77,77,954.16,1031.85,7
n78,78,866.29,878.52,12
n79,79,946.9,1007.57,7
n80,80,869.08,831.04,12
n81,81,943.91,956,7
n82,82,1063.35,1140.98,7
n83,83,1042.5,1036.71,7
n84,84,954.19,855.32,12
n85,85,1142.52,1079.08,5
n86,86,1161,1063.44,5
n87,87,1129.13,992.21,5
n88,88,1126.66,943.79,5
n89,89,1097.78,876,5
n90,90,1190.11,1028.08,5
n91,91,1140.09,898.21,5
n92,92,1163.25,905.36,5
n93,93,1292.79,806.64,17
n94,94,280.55,763.35,22
n95,95,226.16,644.61,22
n96,96,215.29,564.74,22
n97,97,331.42,760.19,22
n98,98,281.88,640.91,22
n99,99,208.68,502.81,20
n100,100,329.93,642.47,22
n101,101,290.47,557.11,22
n102,102,275.55,502.64,20
n103,103,313.2,556.67,22
n104,104,171.01,279.19,28
n105,105,332.64,554.96,22
n106,106,274.45,441.94,20
n107,107,314.25,505.08,20
n108,108,163.99,239.76,28
n109,109,314.52,498.03,20
n110,110,415.72,658.53,22
n111,111,458.67,732.35,22
n112,112,417.4,638.33,22
n113,113,384.78,555.06,22
n114,114,240.32,280.96,28
n115,115,465.63,663.63,2
n116,116,256.48,288.69,28
n117,117,538.76,776.66,2
n118,118,182.34,147.27,28
n119,119,246.15,255.65,28
n120,120,424.38,555.28,22
n121,121,194.1,136.42,28
n122,122,441.66,560.52,2
n123,123,375.73,407.03,20
n124,124,474.04,570.36,2
n125,125,323.81,290.36,28
n126,126,203.17,77.03,28
n127,127,270.57,166.58,28
n128,128,515.67,589.07,2
n129,129,659.8,795.05,12
n130,130,557.63,609.69,2
n131,131,283.28,126.16,28
n132,132,424.4,329.23,20
n133,133,623.81,629.64,2
n134,134,382.8,206.77,28
n135,135,362.92,164.59,28
n136,136,513.76,388.27,15
n137,137,430.85,241.21,28
n138,138,601.12,532.38,2
n139,139,373.51,131.03,28
n140,140,768.02,804.56,12
n141,141,686.52,649.74,2
n142,142,491.67,283.43,15
n143,143,635.34,483.62,2
n144,144,827.24,810.58,12
n145,145,698.87,585.63,2
n146,146,699.42,580.32,2
n147,147,556.44,328.41,15
n148,148,588,351.62,15
n149,149,704.16,533.84,2
n150,150,779.88,662.72,12
n151,151,617.83,373.57,15
n152,152,520.55,183.11,15
n153,153,803.43,664.31,12
n154,154,652.08,399.06,15
n155,155,877.85,782.22,12
n156,156,682.2,421.82,15
n157,157,713.2,445.23,15
n158,158,571.03,196.53,15
n159,159,912.7,758.45,12
n160,160,756.81,470.46,16
n161,161,843.12,600.12,12
n162,162,934.43,751.2,12
n163,163,869.24,622.9,12
n164,164,800.83,492.62,16
n165,165,719.47,340.87,15
n166,166,858.56,521.58,16
n167,167,920.7,627.75,12
n168,168,872.72,528.28,16
n169,169,993.5,734.78,12
n170,170,942.22,629.54,12
n171,171,893.49,538.09,16
n172,172,733.72,232.53,15
n173,173,928.9,554.77,16
n174,174,953.71,566.54,11
n175,175,783.83,249.68,16
n176,176,1067.85,732.35,11
n177,177,796.45,254,16
n178,178,1003.16,589.53,11
n179,179,835.46,264.94,16
n180,180,1034.08,604.93,11
n181,181,1056.46,630.41,11
n182,182,1077.3,658.25,11
n183,183,866.5,274.35,16
n184,184,1130.99,718.1,11
n185,185,898.57,277.14,16
n186,186,1090.25,587.4,11
n187,187,1011.43,450.85,16
n188,188,936.66,285.66,16
n189,189,956.08,289.28,16
n190,190,1072.1,487.17,11
n191,191,1204.59,707.94,11
n192,192,1137.55,583.51,11
n193,193,1088.53,487.69,11
n194,194,1107.83,487.78,11
n195,195,1025.24,301.64,16
n196,196,1192.63,581.02,11
n197,197,1113.87,317.46,27
n198,198,1395.96,701,17
n199,199,1185.25,330.18,27
n200,200,1399.8,571.76,8
n201,201,1506.54,582.04,8
n202,202,1508.93,554.08,8
n203,203,1563.84,639.4,8
n204,204,1407.95,353.67,27
n205,205,1612.65,644.21,8
n206,206,1636.63,668.44,8
n207,207,1558.76,511.02,8
n208,208,1629.01,592.81,8
n209,209,1632.35,565.57,8
n210,210,1636.29,517.86,8
n211,211,1672.42,568.34,8
n212,212,1638.94,452,8
n213,213,1699.15,522.98,23
n214,214,1509.62,368.87,8
n215,215,1638.34,378.76,8
n216,216,1701.69,458.21,23
n217,217,1704.52,382.32,23
n218,218,1562.62,897.08,17
n219,219,1558.86,845.7,17
n220,220,1646.61,914.36,3
n221,221,1641.78,845.18,3
n222,222,1641.48,840.68,3
n223,223,1690.26,842.71,3
n224,224,1691.99,782.26,3
n225,225,1757.1,733.69,3
n226,226,1712.94,623.74,8
n227,227,1732.87,611.57,23
n228,228,1904.17,894.73,3
n229,229,1757.58,636.18,23
n230,230,1943.76,949.61,25
n231,231,1746.95,576.21,23
n232,232,1901.18,834.14,3
n233,233,1754.99,555.7,23
n234,234,1774.41,580.5,23
n235,235,1898.19,772.99,14
n236,236,1765.63,499.29,23
n237,237,1793.43,546.2,23
n238,238,1925.46,770.1,14
n239,239,1895.25,717.74,14
n240,240,2004.39,894.55,25
n241,241,1893.1,683.37,14
n242,242,1768.52,456.83,23
n243,243,1797.82,479.88,23
n244,244,1889.11,627.98,14
n245,245,2046.96,894.6,25
n246,246,1771.99,413.95,23
n247,247,1805.93,436.45,23
n248,248,2101.21,945.9,25
n249,249,2103.47,894.66,25
n250,250,2103.63,889.65,25
n251,251,1952.82,622.69,14
n252,252,1998.45,693.21,14
n253,253,1847.97,400.33,23
n254,254,1848.77,391.16,23
n255,255,1982.68,617.48,14
n256,256,1906.63,447.86,23
n257,257,2162.96,890.35,25
n258,258,2055.01,692.25,14
n259,259,2055.32,682.07,14
n260,260,1930.12,446.34,23
n261,261,1925.52,395.4,23
n262,262,2118.18,680.81,14
n263,263,2168.95,737.97,25
n264,264,2080.64,583.4,14
n265,265,2277.74,891.8,25
n266,266,2101.07,568.83,19
n267,267,2167.05,677.06,4
n268,268,2141.65,606.4,19
n269,269,2200.09,674.83,4
n270,270,2093.38,482.16,19
n271,271,2393.77,985.03,21
n272,272,2076.24,402.96,19
n273,273,2198.62,603.33,19
n274,274,2409.17,938.26,21
n275,275,2334.02,792.33,4
n276,276,2160.98,478.77,19
n277,277,2197.04,535.91,19
n278,278,2196.79,519.11,19
n279,279,2196.9,506.88,19
n280,280,2371.48,789.98,4
n281,281,2426.89,885.77,21
n282,282,2429.12,832.94,21
n283,283,2367,724.4,4
n284,284,2347.17,665.86,4
n285,285,2201.82,403.37,19
n286,286,2425.74,786.58,21
n287,287,2538.56,967.69,21
n288,288,2266.76,478.46,19
n289,289,2408.92,721.88,4
n290,290,2342.02,593.81,4
n291,291,2541.76,937.82,21
n292,292,2544.48,918.13,21
n293,293,2405.76,668.93,4
n294,294,2412.43,668.54,4
n295,295,2547.28,884,21
n296,296,2576.89,923.8,21
n297,297,2363.37,519.2,29
n298,298,2682.87,1050.98,26
n299,299,2487.38,664.19,4
n300,300,2719.49,1060.34,26
n301,301,2411.41,522.16,29
n302,302,2411.1,516.74,29
n303,303,2737.79,1065.03,26
n304,304,2673.29,940.08,26
n305,305,2483.71,601.56,29
n306,306,2480.63,546.14,29
n307,307,2687.99,900.08,26
n308,308,2479.41,518.68,29
n309,309,2478.53,499.12,29
n310,310,2476.94,457.71,29
n311,311,2693.1,823.77,1
n312,312,2476.35,445.43,29
n313,313,2483.8,395.24,29
n314,314,2750.64,847.75,1
n315,315,2557.96,493.87,29
n316,316,2754.25,825.67,1
n317,317,2555.67,439.01,29
n318,318,2615.75,537.65,29
n319,319,2811.17,856.43,1
n320,320,2762.66,771.21,1
n321,321,2560.37,398.41,29
n322,322,2764.13,701.69,1
n323,323,2768.23,647.61,1
