leak_id,true_pipe_id,true_node,predicted_node,top1_error_m,top5_min_error_m,top10_min_error_m,xgb_top1_zone,xgb_top3_zones,candidate_count,method_name,evaluated,skip_reason
p257,p257,n351,n4,267.15091133103,211.012161557101,211.012161557101,22,22|13|30,73,XGB_top3_zone_sensitivity,1,
p461,p461,n106,n586,963.731167818598,842.87281343332,815.368933443628,27,27|11|8,79,XGB_top3_zone_sensitivity,1,
p232,p232,n465,n586,57.6394673813004,37.1489757597702,37.1489757597702,27,27|11|8,79,XGB_top3_zone_sensitivity,1,
p427,p427,n462,n206,450.567472638672,450.567472638672,449.320256498636,23,23|8|3,86,XGB_top3_zone_sensitivity,1,
p673,p673,n206,n237,176.924369788336,22.1116943041459,22.1116943041459,23,23|8|24,77,XGB_top3_zone_sensitivity,1,
p810,p810,n717,n111,1983.14237827873,603.426652232896,603.426652232896,22,22|26|6,69,XGB_top3_zone_sensitivity,1,
p628,p628,n590,n586,331.601984991043,314.422889195427,289.846770294237,8,8|27|11,79,XGB_top3_zone_sensitivity,1,
p538,p538,n147,n151,95.9175709919721,19.7120806867261,19.7120806867261,15,15|2|28,90,XGB_top3_zone_sensitivity,1,
p31,p31,n40,n87,742.985448461139,657.0042302946,518.120674577844,5,5|7|8,85,XGB_top3_zone_sensitivity,1,
p654,p654,n610,n343,1006.73290333137,992.766872055066,992.766872055066,24,24|9|30,73,XGB_top3_zone_sensitivity,1,
p183,p183,n299,n742,98.8763027727068,98.8763027727068,98.8763027727068,30,30|1|23,65,XGB_top3_zone_sensitivity,1,
p158,p158,n232,n645,223.394613744378,138.022012193708,105.276247321036,3,3|14|23,79,XGB_top3_zone_sensitivity,1,
p369,p369,n423,n438,87.7250483043469,87.7250483043469,64.3616920225068,7,7|24|18,86,XGB_top3_zone_sensitivity,1,
p523,p523,n132,n524,67.1554206672849,22.0638193656493,22.0638193656493,15,15|20|2,83,XGB_top3_zone_sensitivity,1,
p827,p827,n731,n729,76.248046040538,25.4158262702592,25.4158262702592,1,1|4|23,71,XGB_top3_zone_sensitivity,1,
p280,p280,n23,n436,618.264880391083,567.482108374352,523.234329555124,7,7|18|5,85,XGB_top3_zone_sensitivity,1,
p653,p653,n609,n391,982.133964958447,552.432590571013,513.551044225401,24,24|30|23,67,XGB_top3_zone_sensitivity,1,
p710,p710,n648,n146,1218.05670107142,1214.62458859723,1214.55761659338,2,2|8|15,89,XGB_top3_zone_sensitivity,1,
p331,p331,n399,n55,203.730165905788,142.002496456929,54.5335786465549,9,9|24|7,89,XGB_top3_zone_sensitivity,1,
p193,p193,n326,n341,1396.29221809942,1348.00087059505,1272.34994471843,5,5|17|8,77,XGB_top3_zone_sensitivity,1,
p277,p277,n363,n54,341.19043527772,341.19043527772,341.19043527772,9,9|18|24,83,XGB_top3_zone_sensitivity,1,
p142,p142,n196,n601,381.179916345287,235.69333279709,235.69333279709,5,5|8|7,85,XGB_top3_zone_sensitivity,1,
p680,p680,n231,n638,215.445733886749,170.362402689091,126.792899051958,3,3|23|8,86,XGB_top3_zone_sensitivity,1,
p586,p586,n562,n172,81.9545255004261,27.3186099573166,27.3186099573166,15,15|21|5,79,XGB_top3_zone_sensitivity,1,
p721,p721,n656,n11,1665.45959700318,1569.6086411109,1514.18665528725,13,13|24|30,71,XGB_top3_zone_sensitivity,1,
p800,p800,n295,n343,1986.97346973355,1986.97346973355,1986.97346973355,24,24|30|9,73,XGB_top3_zone_sensitivity,1,
p123,p123,n159,n1,1086.48449415995,1017.36247672597,884.37208676552,13,13|30|24,71,XGB_top3_zone_sensitivity,1,
p455,p455,n481,n340,1281.72042483921,1162.57428255144,1146.17171699968,5,5|7|23,82,XGB_top3_zone_sensitivity,1,
p762,p762,n264,n340,848.719405369053,501.072897141723,501.072897141723,5,5|8|23,76,XGB_top3_zone_sensitivity,1,
