Time,Flow_Rate
0,1400.72016121363
0.001,1387.12149273898
0.002,1372.62758118766
0.003,1357.09042071678
0.004,1340.40333497716
0.005,1322.4793451219
0.006,1303.24876669712
0.007,1282.66232291397
0.008,1260.69683281778
0.009,1237.36230178033
0.01,1212.70950302675
0.011,1186.83701136435
0.012,1159.89644455203
0.013,1132.09455280114
0.014,1103.69090558563
0.015,1074.9903443036
0.016,1046.33010105742
0.017,1018.06241542755
0.018,990.534397959463
0.019,964.067536929489
0.02,938.939422873704
0.021,915.369906399328
0.022,893.513104329885
0.023,873.455647635797
0.024,855.220584267905
0.025,838.775626432971
0.026,824.044075352412
0.027,810.916761418948
0.028,799.263612063673
0.029,788.943874798514
0.03,779.814458670633
0.031,771.736229881012
0.032,764.578366091808
0.033,758.221034313603
0.034,752.556726617027
0.035,747.49059249253
0.036,742.940072327817
0.037,738.834083859494
0.038,735.111956761371
0.039,731.722258092773
0.04,728.621607098706
0.041,725.773542917897
0.042,723.14748257717
0.043,720.717787936914
0.044,718.462947490867
0.045,716.364870678365
0.046,714.408287411973
0.047,712.58024287616
0.048,710.869676564775
0.049,709.267074445114
0.05,707.764183671914
0.051,706.353780153395
0.052,705.029480310987
0.053,703.785589456142
0.054,702.616980258217
0.055,701.518995754599
0.056,700.487372236266
0.057,699.518178120998
0.058,698.607765602756
0.059,697.75273244508
0.06,696.949891776845
0.061,696.196248160061
0.062,695.488978541343
0.063,694.825416980696
0.064,694.203042282151
0.065,693.619467838564
0.066,693.072433154496
0.067,692.559796632738
0.068,692.079529306943
0.069,691.629709279526
0.07,691.208516684223
0.071,690.81422903962
0.072,690.445216896254
0.073,690.099939707627
0.074,689.776941876488
0.075,689.474848943444
0.076,689.192363896537
0.077,688.928263588727
0.078,688.681395256178
0.079,688.450673134183
0.08,688.235075170248
0.081,688.03363983535
0.082,687.845463035272
0.083,687.669695124153
0.084,687.505538022318
0.085,687.352242440134
0.086,687.209105209151
0.087,687.075466721245
0.088,686.950708475906
0.089,686.834250735214
0.09,686.725550285543
0.091,686.624098304515
0.092,686.529418331287
0.093,686.441064337869
0.094,686.358618898865
0.095,686.281691456737
0.096,686.2099166795
0.097,686.142952907587
0.098,686.080480686505
0.099,686.02220138183
0.1,685.967835873052
0.101,685.917123322773
0.102,685.869820017772
0.103,685.825698278504
0.104,685.784545433648
0.105,685.746162856414
0.106,685.710365059378
0.107,685.67697884475
0.108,685.645842507047
0.109,685.616805085286
0.11,685.589725661909
0.111,685.564472705771
0.112,685.540923456647
0.113,685.518963348831
0.114,685.498485471493
0.115,685.479390063627
0.116,685.461584041469
0.117,685.444980556424
0.118,685.429498581632
0.119,685.415062525385
0.12,685.401601869743
0.121,685.389050832753
0.122,685.377348052797
0.123,685.366436293659
0.124,685.356262168997
0.125,685.346775884977
0.126,685.337930999906
0.127,685.329684199762
0.128,685.321995088604
0.129,685.314825992886
0.13,685.308141778778
0.131,685.301909681638
0.132,685.296099146846
0.133,685.290681681258
0.134,685.285630714565
0.135,685.280921469931
0.136,685.276530843269
0.137,685.272437290612
0.138,685.268620723018
0.139,685.265062408526
0.14,685.261744880687
0.141,685.258651853241
0.142,685.255768140514
0.143,685.253079583175
0.144,685.250572978979
0.145,685.248236018169
0.146,685.24605722323
0.147,685.244025892691
0.148,685.242132048721
0.149,685.240366388248
0.15,685.238720237377
0.151,685.237185508881
0.152,685.235754662553
0.153,685.234420668244
0.154,685.233176971381
0.155,685.232017460821
0.156,685.230936438875
0.157,685.22992859335
0.158,685.228988971486
0.159,685.228112955645
0.16,685.227296240652
0.161,685.226534812659
0.162,685.225824929442
0.163,685.225163102025
0.164,685.224546077551
0.165,685.223970823307
0.166,685.223434511829
0.167,685.22293450702
0.168,685.222468351197
0.169,685.222033753021
0.17,685.221628576244
0.171,685.221250829209
0.172,685.220898655067
0.173,685.220570322658
0.174,685.220264218
0.175,685.219978836361
0.176,685.219712774868
0.177,685.219464725607
0.178,685.2192334692
0.179,685.219017868813
0.18,685.218816864567
0.181,685.218629468332
0.182,685.218454758868
0.183,685.218291877297
0.184,685.218140022885
0.185,685.217998449105
0.186,685.217866459964
0.187,685.217743406588
0.188,685.217628684029
0.189,685.217521728294
0.19,685.217422013568
