method,leak_id,start_time,demo_start,leak_type,year,alarmed,detected,false_alarm_before_leak,alarm_time,alarm_delay_h,threshold,calib_center,calib_scale,missed,detection_delay_hours,leak_start_time,leak_end_time
CUSUM,p257,2018-01-08 13:30:00,2018-01-07 00:00:00,incipient,2018.0,True,True,False,2018-01-10 15:05:00,49.583333333333336,47.349125458799136,1.3365048062379528,0.7891520909799856,False,49.583333333333336,2018-01-08 13:30:00,2019-12-31 23:55:00
XBarFDM,p257,2018-01-08 13:30:00,2018-01-07 00:00:00,incipient,2018.0,True,True,False,2018-07-08 09:20:00,4339.833333333333,3.618328308938673,0.1929596993146967,0.8563421524059941,False,4339.833333333333,2018-01-08 13:30:00,2019-12-31 23:55:00
Hybrid,p257,2018-01-08 13:30:00,2018-01-07 00:00:00,incipient,2018.0,True,True,False,2018-01-10 15:05:00,49.583333333333336,,,,False,49.583333333333336,2018-01-08 13:30:00,2019-12-31 23:55:00
CUSUM,p461,2018-01-23 04:25:00,2018-01-22 00:00:00,incipient,2018.0,True,True,False,2018-02-02 18:20:00,253.91666666666666,40.69581402384228,1.2775364877257869,0.678263567064038,False,253.91666666666666,2018-01-23 04:25:00,2018-04-02 11:40:00
XBarFDM,p461,2018-01-23 04:25:00,2018-01-22 00:00:00,incipient,2018.0,True,True,False,2018-02-03 19:45:00,279.3333333333333,2.2683390014840987,0.013227163151366435,0.5637779595831831,False,279.3333333333333,2018-01-23 04:25:00,2018-04-02 11:40:00
Hybrid,p461,2018-01-23 04:25:00,2018-01-22 00:00:00,incipient,2018.0,True,True,False,2018-02-02 18:20:00,253.91666666666666,,,,False,253.91666666666666,2018-01-23 04:25:00,2018-04-02 11:40:00
CUSUM,p232,2018-01-31 02:35:00,2018-01-30 00:00:00,incipient,2018.0,True,True,False,2018-02-02 17:40:00,63.083333333333336,39.19146580887625,1.1208960864998012,0.6531910968146042,False,63.083333333333336,2018-01-31 02:35:00,2018-02-10 09:20:00
XBarFDM,p232,2018-01-31 02:35:00,2018-01-30 00:00:00,incipient,2018.0,True,True,False,2018-02-03 19:35:00,89.0,2.1828627867180153,-0.015057782931515528,0.5494801424123827,False,89.0,2018-01-31 02:35:00,2018-02-10 09:20:00
Hybrid,p232,2018-01-31 02:35:00,2018-01-30 00:00:00,incipient,2018.0,True,True,False,2018-02-02 17:40:00,63.083333333333336,,,,False,63.083333333333336,2018-01-31 02:35:00,2018-02-10 09:20:00
CUSUM,p427,2018-02-13 08:25:00,2018-02-12 00:00:00,incipient,2018.0,True,True,False,2018-03-05 14:40:00,486.25,38.45270821732218,1.3421191710497262,0.640878470288703,False,486.25,2018-02-13 08:25:00,2019-12-31 23:55:00
