leak_id,method_name,true_pipe_id,true_node,predicted_node,top1_error_m,top5_min_error_m,top10_min_error_m,top1_success_300m,top5_success_300m,top10_success_300m,candidate_count,true_zone,predicted_zone,xgb_top1_zone,xgb_top3_zones,zone_hit_top1,zone_hit_top3,sensitivity_strength,confidence_gap,confidence_ratio,weak_sensitivity_flag,blind_spot_flag,failure_mode
p257,Global sensitivity,p257,n351,n4,267.15091133103,211.0121615571005,211.0121615571005,True,True,True,782,30,13,,,,,0.12089847370933482,0.057711149623916075,1.2457620817755424,True,False,success_within_300m
p257,MAS sensitivity,p257,n351,n4,267.15091133103,22.849105562362823,22.849105562362823,True,True,True,78,30,13,,,,,0.12089847370933482,0.057711149623916075,1.2457620817755424,True,False,success_within_300m
p257,XGBoost top-3 zones + sensitivity,p257,n351,n4,267.15091133103,211.0121615571005,211.0121615571005,True,True,True,73,30,13,22.0,22|13|30,False,True,0.12089847370933482,0.057711149623916075,1.2457620817755424,True,False,success_within_300m
p461,Global sensitivity,p461,n106,n586,963.7311678185986,842.8728134333197,815.3689334436283,False,False,False,782,20,11,,,,,0.15494224694371558,4.530239520483814e-05,1.0000455415012375,False,False,large_distance_error
p461,MAS sensitivity,p461,n106,n587,950.075867299554,838.6329173869816,806.811502908207,False,False,False,78,20,11,,,,,0.15494224694371558,0.000286445106228439,1.0002880452610794,False,False,large_distance_error
p461,XGBoost top-3 zones + sensitivity,p461,n106,n586,963.7311678185986,842.8728134333197,815.3689334436283,False,False,False,79,20,11,27.0,27|11|8,False,False,0.15494224694371558,4.530239520483814e-05,1.0000455415012375,False,False,wrong_zone
p232,Global sensitivity,p232,n465,n586,57.63946738130042,37.148975759770224,37.148975759770224,True,True,True,782,11,11,,,,,0.20738934332941655,4.5373386961311546e-05,1.0000455772194097,False,False,success_within_300m
p232,MAS sensitivity,p232,n465,n587,94.20662662467002,94.20662662467002,94.20662662467002,True,True,True,78,11,11,,,,,0.20738934332941655,0.0003006063496434619,1.0003020536337448,False,False,success_within_300m
p232,XGBoost top-3 zones + sensitivity,p232,n465,n586,57.63946738130042,37.148975759770224,37.148975759770224,True,True,True,79,11,11,27.0,27|11|8,False,True,0.20738934332941655,4.5373386961311546e-05,1.0000455772194097,False,False,success_within_300m
p427,Global sensitivity,p427,n462,n206,450.5674726386716,450.5674726386716,449.320256498636,False,False,False,782,5,8,,,,,0.20443480618188373,1.1729824600403838e-05,1.0000119271886498,False,False,large_distance_error
p427,MAS sensitivity,p427,n462,n237,649.2549830382513,649.2549830382513,540.8462429378613,False,False,False,78,5,23,,,,,0.20443480618188373,0.000393151265801861,1.0003999624162454,False,False,large_distance_error
p427,XGBoost top-3 zones + sensitivity,p427,n462,n206,450.5674726386716,450.5674726386716,449.320256498636,False,False,False,86,5,8,23.0,23|8|3,False,False,0.20443480618188373,1.1729824600403838e-05,1.0000119271886498,False,False,wrong_zone
p673,Global sensitivity,p673,n206,n237,176.92436978833643,22.111694304145853,22.111694304145853,True,True,True,782,8,23,,,,,0.18363754437204705,4.672080936463097e-06,1.0000046935612859,False,False,success_within_300m
p673,MAS sensitivity,p673,n206,n237,176.92436978833643,99.81653933592376,90.481377780182,True,True,True,78,8,23,,,,,0.18363754437204705,4.672080936463097e-06,1.0000046935612859,False,False,success_within_300m
p673,XGBoost top-3 zones + sensitivity,p673,n206,n237,176.92436978833643,22.111694304145853,22.111694304145853,True,True,True,77,8,23,23.0,23|8|24,False,True,0.18363754437204705,4.672080936463097e-06,1.0000046935612859,False,False,success_within_300m
p810,Global sensitivity,p810,n717,n111,1983.1423782787256,603.4266522328957,432.2087066742176,False,False,False,782,29,22,,,,,0.17579842722969843,0.0,0.0,False,False,low_confidence
p810,MAS sensitivity,p810,n717,n1,2550.281180502456,1846.675484113276,1791.3412327429414,False,False,False,78,29,30,,,,,0.17579842722969843,0.018570130495334403,-0.9685829617519317,False,False,large_distance_error
p810,XGBoost top-3 zones + sensitivity,p810,n717,n111,1983.1423782787256,603.4266522328957,603.4266522328957,False,False,False,69,29,22,22.0,22|26|6,False,False,0.17579842722969843,0.0,0.0,False,False,wrong_zone
p628,Global sensitivity,p628,n590,n586,331.60198499104314,314.42288919542733,289.8467702942368,False,False,True,782,27,11,,,,,0.22722402598657845,1.9708259694217745e-06,1.0000019722684164,False,False,unknown
p628,MAS sensitivity,p628,n590,n587,289.8467702942368,187.80485630036304,142.02427767814902,True,True,True,78,27,11,,,,,0.22722402598657845,0.00032158843621699074,1.00032212137108,False,False,success_within_300m
p628,XGBoost top-3 zones + sensitivity,p628,n590,n586,331.60198499104314,314.42288919542733,289.8467702942368,False,False,True,79,27,11,8.0,8|27|11,False,True,0.22722402598657845,1.9708259694217745e-06,1.0000019722684164,False,False,candidate_filter_miss
p538,Global sensitivity,p538,n147,n151,95.91757099197208,19.712080686726143,19.712080686726143,True,True,True,782,15,15,,,,,0.15887328446055654,0.00016199078789103094,1.000162270747293,False,False,success_within_300m
p538,MAS sensitivity,p538,n147,n151,95.91757099197208,19.712080686726143,19.712080686726143,True,True,True,78,15,15,,,,,0.15887328446055654,0.00016199078789103094,1.000162270747293,False,False,success_within_300m
p538,XGBoost top-3 zones + sensitivity,p538,n147,n151,95.91757099197208,19.712080686726143,19.712080686726143,True,True,True,90,15,15,15.0,15|2|28,True,True,0.15887328446055654,0.00016199078789103094,1.000162270747293,False,False,success_within_300m
p31,Global sensitivity,p31,n40,n87,742.9854484611392,657.0042302946003,518.1206745778439,False,False,False,782,9,5,,,,,0.09547724049618506,4.016021024155769e-05,1.0000440149445469,True,True,weak_sensitivity
p31,MAS sensitivity,p31,n40,n79,562.2404521421417,474.17300210471706,331.5303761723804,False,False,False,78,9,7,,,,,0.09547724049618506,0.0003577361264809342,1.0003926887651093,True,True,weak_sensitivity
p31,XGBoost top-3 zones + sensitivity,p31,n40,n87,742.9854484611392,657.0042302946003,518.1206745778439,False,False,False,85,9,5,5.0,5|7|8,False,False,0.09547724049618506,4.016021024155769e-05,1.0000440149445469,True,True,wrong_zone
p654,Global sensitivity,p654,n610,n343,1006.7329033313652,992.7668720550664,992.7668720550664,False,False,False,782,27,24,,,,,0.2327879947411254,0.00016723591880751787,1.000198875896014,False,False,large_distance_error
p654,MAS sensitivity,p654,n610,n42,1004.991723871396,1004.991723871396,1004.991723871396,False,False,False,78,27,9,,,,,0.2327879947411254,2.426525243115485e-05,1.0000289065116341,False,False,large_distance_error
p654,XGBoost top-3 zones + sensitivity,p654,n610,n343,1006.7329033313652,992.7668720550664,992.7668720550664,False,False,False,73,27,24,24.0,24|9|30,False,False,0.2327879947411254,0.00016723591880751787,1.000198875896014,False,False,wrong_zone
p183,Global sensitivity,p183,n299,n305,31.36871769773198,31.36871769773198,31.36871769773198,True,True,True,782,4,29,,,,,0.16860253189692292,0.00018959728318024283,1.0002495256418042,False,False,success_within_300m
p183,MAS sensitivity,p183,n299,n305,31.36871769773198,31.36871769773198,31.36871769773198,True,True,True,78,4,29,,,,,0.16860253189692292,0.00018959728318024283,1.0002495256418042,False,False,success_within_300m
p183,XGBoost top-3 zones + sensitivity,p183,n299,n742,98.8763027727068,98.8763027727068,98.8763027727068,True,True,True,65,4,1,30.0,30|1|23,False,False,0.16860253189692292,5.2786624130440885e-05,1.0000694935933738,False,False,success_within_300m
p158,Global sensitivity,p158,n232,n645,223.3946137443784,138.02201219370764,105.2762473210363,True,True,True,782,3,3,,,,,0.19338112553035247,7.796001127435837e-06,1.0000078414420372,False,False,success_within_300m
p158,MAS sensitivity,p158,n232,n645,223.3946137443784,138.02201219370764,105.2762473210363,True,True,True,78,3,3,,,,,0.19338112553035247,7.796001127435837e-06,1.0000078414420372,False,False,success_within_300m
p158,XGBoost top-3 zones + sensitivity,p158,n232,n645,223.3946137443784,138.02201219370764,105.2762473210363,True,True,True,79,3,3,3.0,3|14|23,True,True,0.19338112553035247,7.796001127435837e-06,1.0000078414420372,False,False,success_within_300m
p369,Global sensitivity,p369,n423,n438,87.72504830434686,87.72504830434686,64.36169202250679,True,True,True,782,7,7,,,,,0.20412746096440743,0.0002807626187990575,1.000286740897462,False,False,success_within_300m
p369,MAS sensitivity,p369,n423,n438,87.72504830434686,87.72504830434686,64.36169202250679,True,True,True,78,7,7,,,,,0.20412746096440743,0.0002807626187990575,1.000286740897462,False,False,success_within_300m
p369,XGBoost top-3 zones + sensitivity,p369,n423,n438,87.72504830434686,87.72504830434686,64.36169202250679,True,True,True,86,7,7,7.0,7|24|18,True,True,0.20412746096440743,0.0002807626187990575,1.000286740897462,False,False,success_within_300m
p523,Global sensitivity,p523,n132,n524,67.15542066728491,22.06381936564927,22.06381936564927,True,True,True,782,20,15,,,,,0.1573299561793303,0.00012173219636879562,1.0001221219275147,False,False,success_within_300m
p523,MAS sensitivity,p523,n132,n524,67.15542066728491,22.06381936564927,22.06381936564927,True,True,True,78,20,15,,,,,0.1573299561793303,0.00012173219636879562,1.0001221219275147,False,False,success_within_300m
p523,XGBoost top-3 zones + sensitivity,p523,n132,n524,67.15542066728491,22.06381936564927,22.06381936564927,True,True,True,83,20,15,15.0,15|20|2,False,True,0.1573299561793303,0.00012173219636879562,1.0001221219275147,False,False,success_within_300m
p827,Global sensitivity,p827,n731,n729,76.24804604053799,25.41582627025925,25.41582627025924,True,True,True,782,1,1,,,,,0.16517476370672224,1.4630660289838282e-05,1.0000146598945812,False,False,success_within_300m
p827,MAS sensitivity,p827,n731,n729,76.24804604053799,25.41582627025925,25.41582627025924,True,True,True,78,1,1,,,,,0.16517476370672224,1.4630660289838282e-05,1.0000146598945812,False,False,success_within_300m
p827,XGBoost top-3 zones + sensitivity,p827,n731,n729,76.24804604053799,25.41582627025925,25.41582627025924,True,True,True,71,1,1,1.0,1|4|23,True,True,0.16517476370672224,1.4630660289838282e-05,1.0000146598945812,False,False,success_within_300m
p280,Global sensitivity,p280,n23,n436,618.2648803910829,567.482108374352,523.2343295551238,False,False,False,782,13,7,,,,,0.10197150062497995,9.692144480466514e-05,1.000097958880769,True,True,weak_sensitivity
p280,MAS sensitivity,p280,n23,n436,618.2648803910829,523.2343295551238,479.1201387178376,False,False,False,78,13,7,,,,,0.10197150062497995,9.692144480466514e-05,1.000097958880769,True,True,weak_sensitivity
p280,XGBoost top-3 zones + sensitivity,p280,n23,n436,618.2648803910829,567.482108374352,523.2343295551238,False,False,False,85,13,7,7.0,7|18|5,False,False,0.10197150062497995,9.692144480466514e-05,1.000097958880769,True,True,wrong_zone
p653,Global sensitivity,p653,n609,n198,362.4738211581631,325.83023252147734,325.3395067079926,False,False,False,782,27,17,,,,,0.23214933536523663,4.156567573310177e-05,1.0000561825957874,False,False,large_distance_error
p653,MAS sensitivity,p653,n609,n203,422.9474357706876,247.66090350517584,206.55937191277468,False,True,True,78,27,8,,,,,0.23214933536523663,0.00016482719602850526,1.000223317149782,False,False,unknown
p653,XGBoost top-3 zones + sensitivity,p653,n609,n391,982.133964958447,552.4325905710126,513.5510442254013,False,False,False,67,27,24,24.0,24|30|23,False,False,0.23214933536523663,0.003964356253597923,1.0057441073666362,False,False,wrong_zone
p710,Global sensitivity,p710,n648,n160,1197.125856092416,1148.1194920934845,1148.1194920934845,False,False,False,782,3,16,,,,,0.18648543407784401,0.0007404327480562412,1.0007591225154353,False,False,large_distance_error
p710,MAS sensitivity,p710,n648,n564,1106.8764313260083,1006.4786105153948,1006.4786105153948,False,False,False,78,3,16,,,,,0.18648543407784401,0.00011994699156436806,1.0001238224428661,False,False,large_distance_error
p710,XGBoost top-3 zones + sensitivity,p710,n648,n146,1218.0567010714235,1214.624588597234,1214.5576165933835,False,False,False,89,3,2,2.0,2|8|15,False,False,0.18648543407784401,9.180000553277168e-06,1.0000094440728267,False,False,wrong_zone
p331,Global sensitivity,p331,n399,n55,203.73016590578817,142.00249645692853,54.53357864655487,True,True,True,782,7,24,,,,,0.21318742543039398,5.053217110306818e-07,1.0000007207045565,False,False,success_within_300m
p331,MAS sensitivity,p331,n399,n55,203.73016590578817,142.00249645692853,54.53357864655487,True,True,True,78,7,24,,,,,0.21318742543039398,5.053217110306818e-07,1.0000007207045565,False,False,success_within_300m
p331,XGBoost top-3 zones + sensitivity,p331,n399,n55,203.73016590578817,142.00249645692853,54.53357864655487,True,True,True,89,7,24,9.0,9|24|7,False,True,0.21318742543039398,5.053217110306818e-07,1.0000007207045565,False,False,success_within_300m
p193,Global sensitivity,p193,n326,n341,1396.2922180994208,1348.0008705950454,1301.80335190266,False,False,False,782,10,17,,,,,0.1711771976522179,0.0003286669052438018,1.0003342101077324,False,False,large_distance_error
p193,MAS sensitivity,p193,n326,n198,1379.9037419780411,1239.4874949449877,1204.3885402663875,False,False,False,78,10,17,,,,,0.1711771976522179,0.0008481814133783905,1.0008646260230782,False,False,large_distance_error
p193,XGBoost top-3 zones + sensitivity,p193,n326,n341,1396.2922180994208,1348.0008705950454,1272.349944718433,False,False,False,77,10,17,5.0,5|17|8,False,False,0.1711771976522179,0.0003286669052438018,1.0003342101077324,False,False,wrong_zone
p277,Global sensitivity,p277,n363,n54,341.19043527772004,341.19043527772004,341.19043527772004,False,False,False,782,6,18,,,,,0.09860427141127197,0.0020774981787387015,1.0028658813660976,True,True,weak_sensitivity
