method,leak_id,true_pipe_id,leak_start_time,alarm_time,detected,false_alarm_before_leak,event_selected,calibration_window_size,localization_window_size,measured_pressure_shape,nominal_pressure_shape,residual_vector_shape,status,message
CUSUM,p257,p257,2018-01-08 13:30:00,2018-01-10 15:05:00,True,False,True,288.0,288.0,103392x33,103392x33,33,ok,
CUSUM,p461,p461,2018-01-23 04:25:00,2018-02-02 18:20:00,True,False,True,288.0,288.0,20301x33,20301x33,33,ok,
CUSUM,p232,p232,2018-01-31 02:35:00,2018-02-02 17:40:00,True,False,True,,,,,,,
CUSUM,p427,p427,2018-02-13 08:25:00,2018-03-05 14:40:00,True,False,True,,,,,,,
CUSUM,p673,p673,2018-03-05 15:45:00,2018-03-05 16:20:00,True,False,True,,,,,,,
CUSUM,p810,p810,2018-07-28 03:05:00,2018-07-28 20:55:00,True,False,True,,,,,,,
CUSUM,p628,p628,2018-05-02 14:55:00,2018-05-10 14:30:00,True,False,True,,,,,,,
CUSUM,p538,p538,2018-05-18 08:35:00,2018-05-21 15:35:00,True,False,True,,,,,,,
CUSUM,p31,p31,2018-06-28 10:35:00,2018-07-16 03:50:00,True,False,True,,,,,,,
CUSUM,p654,p654,2018-07-05 03:40:00,2018-07-19 10:05:00,True,False,True,,,,,,,
CUSUM,p183,p183,2018-08-07 02:35:00,2018-08-08 11:05:00,True,False,True,,,,,,,
CUSUM,p158,p158,2018-10-06 02:35:00,2018-10-06 20:10:00,True,False,True,,,,,,,
CUSUM,p369,p369,2018-10-26 02:05:00,2018-10-26 18:10:00,True,False,True,,,,,,,
CUSUM,p523,p523,2019-01-15 23:00:00,2019-01-16 17:20:00,True,False,True,,,,,,,
CUSUM,p827,p827,2019-01-24 18:30:00,2019-01-25 16:20:00,True,False,True,,,,,,,
CUSUM,p280,p280,2019-02-10 13:05:00,2019-02-15 22:35:00,True,False,True,,,,,,,
CUSUM,p653,p653,2019-03-03 13:10:00,2019-03-05 18:15:00,True,False,True,,,,,,,
CUSUM,p710,p710,2019-03-24 14:15:00,2019-04-04 11:05:00,True,False,True,,,,,,,
CUSUM,p331,p331,2019-04-20 10:10:00,2019-04-22 11:50:00,True,False,True,,,,,,,
CUSUM,p193,p193,2019-05-19 10:40:00,2019-06-13 13:10:00,True,False,True,,,,,,,
CUSUM,p277,p277,2019-05-30 21:55:00,2019-05-31 21:15:00,True,False,True,,,,,,,
CUSUM,p142,p142,2019-06-12 19:55:00,2019-06-13 10:30:00,True,False,True,,,,,,,
CUSUM,p680,p680,2019-07-10 08:45:00,2019-07-11 05:15:00,True,False,True,,,,,,,
CUSUM,p586,p586,2019-07-26 14:40:00,2019-08-30 17:10:00,True,False,True,,,,,,,
CUSUM,p721,p721,2019-08-02 03:00:00,2019-08-06 05:35:00,True,False,True,,,,,,,
CUSUM,p800,p800,2019-08-16 14:00:00,2019-08-21 12:00:00,True,False,True,,,,,,,
CUSUM,p123,p123,2019-09-13 20:05:00,2019-09-29 02:00:00,True,False,True,,,,,,,
CUSUM,p455,p455,2019-10-03 14:00:00,2019-11-05 16:15:00,True,False,True,,,,,,,
CUSUM,p762,p762,2019-10-09 10:15:00,2019-10-29 17:10:00,True,False,True,,,,,,,
